"","birdorder","ori","dest","lag","corr","p"
"06","Passeriformes","JapanKorea","Mongolia",0,0.812752825030911,0.00487077064637909
"011","Pelecaniformes","Mongolia","Europe",0,-0.873829081498654,0.00246967213703919
"012","Passeriformes","Mongolia","Europe",0,-0.880039908803469,0.00229950427114334
"014","Ciconiiformes","Mongolia","Europe",0,-0.830603516186227,0.00401100453470771
"015","Falconiformes","Mongolia","Europe",0,-0.887861949496209,0.0021004846359749
"016","Charadriiformes","Mongolia","Europe",0,-0.894006002402366,0.00195537600198947
"017","Accipitriformes","Mongolia","Europe",0,-0.875468403590784,0.00242367181010894
"-127","Accipitriformes","Mongolia","WA",-1,0.816210399469314,0.00469224283584047
"034","Ciconiiformes","SEA","Europe",0,0.807259054652155,0.00516710192914194
