,od,birdorder,birdloc,avgCorr,quant025,quant50,quant975,pval,birdloc_lab
71,Europe-Qinghai,Sulifor,dest,-0.09736861,-0.184137861,-0.112595423,-0.038495884,0.035916667,destination
248,Russia-Africa,Passerifor,ori,-0.241698283,-0.623716763,-0.131770223,-0.131539138,0.036479315,origin
247,Russia-Africa,Passerifor,dest,0.312658012,0.238754265,0.239026861,0.606426462,0.036812714,destination
316,SChina-SEA,Falconifor,ori,-0.184414802,-0.369112332,-0.170889722,-0.087635663,0.037166667,origin
240,Russia-Africa,Charadriifor,ori,-0.214634824,-0.486681666,-0.163971794,-0.147346555,0.037868474,origin
250,Russia-Africa,Pelecanifor,ori,-0.179824467,-0.403615577,-0.161619526,-0.075867529,0.03809074,origin
186,NChina-Qinghai,Charadriifor,ori,-0.31129107,-0.53247828,-0.373893584,-0.059812591,0.038305556,origin
244,Russia-Africa,Falconifor,ori,0.265462312,0.190686982,0.190905196,0.592543697,0.038396355,origin
252,Russia-Africa,Sulifor,ori,0.196187101,0.105211239,0.156773703,0.465209069,0.038507488,origin
189,NChina-Qinghai,Falconifor,dest,-0.350944297,-0.52694589,-0.364247045,-0.091391954,0.038611111,destination
185,NChina-Qinghai,Charadriifor,dest,-0.449979272,-0.682609592,-0.475398665,-0.108792987,0.038805556,destination
238,Russia-Africa,Anserifor,ori,-0.192595595,-0.542525069,-0.108137904,-0.107959953,0.038924235,origin
246,Russia-Africa,Gruifor,ori,-0.191548305,-0.563874289,-0.094164531,-0.093959203,0.039591032,origin
193,NChina-Qinghai,Passerifor,dest,-0.448453433,-0.661026142,-0.388169416,-0.092311607,0.040888889,destination
126,JapanKorea-SChina,Sulifor,ori,-0.47786168,-0.833107586,-0.490008759,-0.13421487,0.041722222,origin
41,Europe-JapanKorea,Charadriifor,dest,0.2862146,0.03496211,0.287049861,0.505953343,0.04175,destination
181,NChina-Qinghai,Accipitrifor,dest,-0.396471446,-0.599420936,-0.415196579,-0.07553038,0.042111111,destination
188,NChina-Qinghai,Ciconiifor,ori,-0.31992921,-0.488294102,-0.360537275,-0.040779865,0.044694444,origin
299,SChina-NChina,Gruifor,dest,0.474650647,0.002646363,0.635852909,0.773000108,0.046472222,destination
118,JapanKorea-SChina,Falconifor,ori,-0.349300268,-0.678889346,-0.357728946,-0.039161186,0.047055556,origin
195,NChina-Qinghai,Pelecanifor,dest,-0.135778528,-0.325871912,-0.147540955,-0.004424206,0.047472222,destination
100,JapanKorea-Europe,Falconifor,ori,0.217132271,-0.017951693,0.141930356,0.713774861,0.054611111,origin
173,NChina-JapanKorea,Gruifor,dest,-0.196106133,-0.383580163,-0.240177455,0.001996443,0.055472222,destination
196,NChina-Qinghai,Pelecanifor,ori,-0.307309157,-0.453879835,-0.271649473,0.055738552,0.055638889,origin
328,SEA-SChina,Anserifor,ori,0.308023941,-0.063592164,0.289063404,0.566632306,0.057277778,origin
345,USAandCanada-JapanKorea,Anserifor,dest,-0.202250522,-0.640329783,-0.117878393,0.016913136,0.065944444,destination
357,USAandCanada-JapanKorea,Pelecanifor,dest,-0.158512843,-0.244898967,-0.174321157,0.022347641,0.069305556,destination
249,Russia-Africa,Pelecanifor,dest,-0.2428589,-0.339199931,-0.267786037,0.063227491,0.069735782,destination
166,NChina-JapanKorea,Anserifor,ori,-0.173157025,-0.348265437,-0.181308683,0.013049387,0.071166667,origin
356,USAandCanada-JapanKorea,Passerifor,ori,0.342972175,-0.075637136,0.335847024,0.620919682,0.078111111,origin
124,JapanKorea-SChina,Pelecanifor,ori,-0.224402136,-0.445857809,-0.23107486,0.002808873,0.081333333,origin
354,USAandCanada-JapanKorea,Gruifor,ori,-0.092882718,-0.447535995,-0.028675563,0.049338214,0.08275,origin
339,SEA-SChina,Pelecanifor,dest,0.149280802,-0.136677812,0.162922193,0.225511948,0.082888889,destination
10,Europe-Africa,Falconifor,ori,0.375469271,-0.11207534,0.411110887,0.554763395,0.085632096,origin
337,SEA-SChina,Passerifor,dest,0.362901947,-0.261873562,0.401274753,0.54635435,0.087222222,destination
243,Russia-Africa,Falconifor,dest,-0.3498621,-0.826384979,-0.274050765,0.092163944,0.099713833,destination
333,SEA-SChina,Falconifor,dest,-0.282823848,-0.463221732,-0.315937361,0.303083032,0.106,destination
297,SChina-NChina,Falconifor,dest,0.266526354,-0.043462205,0.363650891,0.393648077,0.106166667,destination
138,JapanKorea-USAandCanada,Gruifor,ori,-0.065929362,-0.301425751,-0.02947828,0.108932361,0.109,origin
223,Qinghai-Europe,Ciconiifor,dest,-0.345336868,-0.497231092,-0.363312114,0.018862197,0.110722222,destination
58,Europe-Qinghai,Anserifor,ori,-0.534248345,-0.774934037,-0.696362687,0.1958977,0.11125,origin
8,Europe-Africa,Ciconiifor,ori,-0.111342521,-0.52190325,-0.074344013,0.100399725,0.114285714,origin
197,NChina-Qinghai,Sulifor,dest,-0.202139373,-0.325614377,-0.271949053,0.245758865,0.117111111,destination
61,Europe-Qinghai,Ciconiifor,dest,0.260245086,-0.158512206,0.313976568,0.461343675,0.123777778,destination
347,USAandCanada-JapanKorea,Charadriifor,dest,0.201902499,-0.043186618,0.245432782,0.271518423,0.124583333,destination
355,USAandCanada-JapanKorea,Passerifor,dest,0.286568766,-0.171719255,0.273768203,0.604978695,0.1275,destination
177,NChina-JapanKorea,Pelecanifor,dest,-0.234321406,-0.494140718,-0.267388721,0.083580495,0.128361111,destination
302,SChina-NChina,Passerifor,ori,0.232769305,-0.034798286,0.235248291,0.549774306,0.129222222,origin
300,SChina-NChina,Gruifor,ori,0.586944958,-0.10633984,0.631956426,0.795422723,0.133666667,origin
340,SEA-SChina,Pelecanifor,ori,0.31772515,-0.265854624,0.285936198,0.823488394,0.133805556,origin
351,USAandCanada-JapanKorea,Falconifor,dest,-0.343491318,-0.492939992,-0.4050579,0.190491917,0.133833333,destination
120,JapanKorea-SChina,Gruifor,ori,0.177024831,-0.092823105,0.227201554,0.37178553,0.134333333,origin
219,Qinghai-Europe,Anserifor,dest,-0.49417606,-0.73475215,-0.638976057,0.115479339,0.135944444,destination
108,JapanKorea-Europe,Sulifor,ori,0.323843696,-0.119623468,0.346027079,0.611929256,0.13875,origin
359,USAandCanada-JapanKorea,Sulifor,dest,-0.417310809,-0.637350793,-0.491734073,0.276562021,0.141305556,destination
346,USAandCanada-JapanKorea,Anserifor,ori,0.304385423,-0.213523745,0.295951337,0.64625505,0.141444444,origin
50,Europe-JapanKorea,Passerifor,ori,-0.337816336,-0.441167131,-0.370848701,0.0570778,0.141666667,origin
117,JapanKorea-SChina,Falconifor,dest,-0.277658461,-0.420794352,-0.342437858,0.087126661,0.142694444,destination
9,Europe-Africa,Falconifor,dest,-0.372898149,-0.922505007,-0.305205263,0.396815898,0.147609783,destination
55,Europe-Qinghai,Accipitrifor,dest,-0.448961178,-0.644240963,-0.462977059,0.220612808,0.156972222,destination
70,Europe-Qinghai,Pelecanifor,ori,-0.474514636,-0.690797208,-0.496486106,0.282816866,0.157055556,origin
63,Europe-Qinghai,Falconifor,dest,-0.393783757,-0.576029294,-0.409274012,0.272080432,0.15825,destination
233,Qinghai-Europe,Sulifor,dest,0.623735188,-0.292022565,0.768461466,0.924285765,0.159138889,destination
67,Europe-Qinghai,Passerifor,dest,-0.428962024,-0.66027619,-0.437519571,0.541880254,0.160045561,destination
2,Europe-Africa,Accipitrifor,ori,0.199588828,-0.406130217,0.143881419,0.611523578,0.160922735,origin
343,USAandCanada-JapanKorea,Accipitrifor,dest,0.115235792,-0.147365933,0.090619745,0.370503769,0.163083333,destination
221,Qinghai-Europe,Charadriifor,dest,-0.582848982,-0.895244061,-0.645167837,0.433650318,0.16325,destination
275,SChina-JapanKorea,Charadriifor,dest,0.13959958,-0.013880818,0.096271897,0.457916741,0.16325,destination
28,Europe-CA,Falconifor,ori,0.070899109,-0.573189309,0.021873417,0.412073823,0.163585605,origin
218,Qinghai-Europe,Accipitrifor,ori,-0.508803146,-0.76916882,-0.561632252,0.292838165,0.164277778,origin
228,Qinghai-Europe,Gruifor,ori,-0.430225207,-0.678091567,-0.445773709,0.408318688,0.164305556,origin
5,Europe-Africa,Charadriifor,dest,0.492946387,-0.533212557,0.590185102,0.654657009,0.164952752,destination
224,Qinghai-Europe,Ciconiifor,ori,0.301433211,-0.180657392,0.385762289,0.503514295,0.16525,origin
226,Qinghai-Europe,Falconifor,ori,-0.481344165,-0.719311446,-0.531818813,0.21685653,0.165805556,origin
3,Europe-Africa,Anserifor,dest,0.389599338,-0.500214333,0.328549151,0.919718931,0.16864925,destination
13,Europe-Africa,Passerifor,dest,0.184847638,-0.410660972,0.158848938,0.564050441,0.169066148,destination
222,Qinghai-Europe,Charadriifor,ori,-0.550613891,-0.865425878,-0.616656719,0.531136569,0.169138889,origin
220,Qinghai-Europe,Anserifor,ori,-0.511481563,-0.794509318,-0.580547156,0.447480453,0.170111111,origin
230,Qinghai-Europe,Passerifor,ori,-0.460611597,-0.745248731,-0.488486952,0.529936647,0.170666667,origin
72,Europe-Qinghai,Sulifor,ori,0.673780037,-0.257985774,0.83593385,0.966044747,0.170833333,origin
57,Europe-Qinghai,Anserifor,dest,-0.438813142,-0.673802444,-0.488148503,0.57951844,0.17175,destination
326,SEA-SChina,Accipitrifor,ori,0.253449339,-0.142675797,0.27582164,0.459396807,0.171944444,origin
227,Qinghai-Europe,Gruifor,dest,-0.411148254,-0.675093513,-0.541656637,0.717944713,0.172305556,destination
231,Qinghai-Europe,Pelecanifor,dest,-0.537344611,-0.820148039,-0.601808389,0.338227055,0.172833333,destination
12,Europe-Africa,Gruifor,ori,-0.098750041,-0.29926602,-0.094372533,0.26417129,0.174124514,origin
1,Europe-Africa,Accipitrifor,dest,-0.43733309,-0.617148094,-0.615644825,0.412709474,0.174458032,destination
59,Europe-Qinghai,Charadriifor,dest,-0.498435245,-0.744242419,-0.529397873,0.426734653,0.175083333,destination
323,SChina-SEA,Sulifor,dest,0.759890096,-0.163381317,0.872477936,0.912580089,0.176333333,destination
232,Qinghai-Europe,Pelecanifor,ori,-0.284077169,-0.43916584,-0.358407322,0.261401316,0.177138889,origin
305,SChina-NChina,Sulifor,dest,0.312863489,-0.088978735,0.409927004,0.449831741,0.178194444,destination
331,SEA-SChina,Ciconiifor,dest,0.276549393,-0.463031032,0.272191167,0.727219419,0.179472222,destination
69,Europe-Qinghai,Pelecanifor,dest,-0.171312993,-0.305568286,-0.228395613,0.602526237,0.180333333,destination
318,SChina-SEA,Gruifor,ori,0.660253012,-0.034577715,0.758013609,0.798323376,0.183083333,origin
20,Europe-CA,Accipitrifor,ori,0.276245837,-0.350801997,0.319063115,0.405128217,0.183502549,origin
324,SChina-SEA,Sulifor,ori,0.424446694,-0.039073562,0.479953559,0.618972717,0.183861111,origin
39,Europe-JapanKorea,Anserifor,dest,-0.108309163,-0.193228204,-0.12153443,0.125531173,0.184305556,destination
60,Europe-Qinghai,Charadriifor,ori,-0.549420093,-0.818188478,-0.609565738,0.465909957,0.185277778,origin
52,Europe-JapanKorea,Pelecanifor,ori,0.175766398,-0.010371658,0.101114701,0.675337324,0.185638889,origin
32,Europe-CA,Passerifor,ori,-0.442989888,-0.677500559,-0.670682503,0.593042711,0.185669245,origin
65,Europe-Qinghai,Gruifor,dest,-0.580226966,-0.828013484,-0.661345303,0.319794807,0.186444444,destination
66,Europe-Qinghai,Gruifor,ori,-0.401506235,-0.636483534,-0.527547476,0.665311146,0.187138889,origin
115,JapanKorea-SChina,Ciconiifor,dest,0.340268479,-0.166259299,0.409860145,0.519633635,0.18725,destination
315,SChina-SEA,Falconifor,dest,0.715835548,-0.308688046,0.861681187,0.903171235,0.188,destination
152,NChina-Europe,Ciconiifor,ori,-0.24827032,-0.562034003,-0.318466352,0.631668228,0.192888889,origin
150,NChina-Europe,Charadriifor,ori,-0.272126713,-0.579550988,-0.343345535,0.253861339,0.193722222,origin
15,Europe-Africa,Pelecanifor,dest,-0.215840634,-0.320963728,-0.292145839,0.462581628,0.195497499,destination
128,JapanKorea-USAandCanada,Accipitrifor,ori,0.307733097,-0.172478766,0.411146674,0.411496372,0.19775,origin
158,NChina-Europe,Passerifor,ori,-0.296362967,-0.629756591,-0.394564965,0.343718799,0.199194444,origin
149,NChina-Europe,Charadriifor,dest,-0.309355698,-0.714027536,-0.417748451,0.454680392,0.205333333,destination
159,NChina-Europe,Pelecanifor,dest,-0.282231213,-0.652267258,-0.379135654,0.565876188,0.2055,destination
160,NChina-Europe,Pelecanifor,ori,-0.226541416,-0.509105563,-0.271861207,0.674323912,0.208055556,origin
151,NChina-Europe,Ciconiifor,dest,-0.177638868,-0.43823029,-0.243413477,0.671479973,0.208722222,destination
146,NChina-Europe,Accipitrifor,ori,-0.303475591,-0.652697541,-0.386862208,0.481897179,0.210972222,origin
113,JapanKorea-SChina,Charadriifor,dest,-0.151550461,-0.544064949,-0.137925659,0.102514146,0.214416667,destination
155,NChina-Europe,Gruifor,dest,-0.29893064,-0.656074195,-0.39336134,0.583906917,0.214444444,destination
353,USAandCanada-JapanKorea,Gruifor,dest,0.210758918,-0.09188742,0.281478091,0.281735264,0.215333333,destination
46,Europe-JapanKorea,Falconifor,ori,0.311919765,-0.379645706,0.408360342,0.47676946,0.2235,origin
47,Europe-JapanKorea,Gruifor,dest,0.207399374,-0.097655903,0.277616945,0.356595606,0.226722222,destination
93,JapanKorea-Europe,Anserifor,dest,-0.082122842,-0.525293056,-0.039794819,0.239889045,0.230666667,destination
336,SEA-SChina,Gruifor,ori,-0.095284509,-0.292300428,-0.107647163,0.32962184,0.235111111,origin
48,Europe-JapanKorea,Gruifor,ori,0.200382892,-0.113600274,0.167303782,0.612021902,0.23525,origin
280,SChina-JapanKorea,Falconifor,ori,-0.282987701,-0.47340845,-0.389013646,0.147657111,0.239861111,origin
136,JapanKorea-USAandCanada,Falconifor,ori,-0.47285992,-0.67609262,-0.633019113,0.352679832,0.240527778,origin
14,Europe-Africa,Passerifor,ori,-0.279186984,-0.420525091,-0.419229456,0.573846057,0.243996665,origin
122,JapanKorea-SChina,Passerifor,ori,0.224380305,-0.188996349,0.242809479,0.659118213,0.244361111,origin
51,Europe-JapanKorea,Pelecanifor,dest,-0.158093564,-0.30166138,-0.206308971,0.068440947,0.248583333,destination
201,NChina-SChina,Anserifor,dest,0.394099599,-0.427681312,0.480260143,0.871150054,0.254111111,destination
344,USAandCanada-JapanKorea,Accipitrifor,ori,0.067208563,-0.508424532,0.005231742,0.714281333,0.257638889,origin
114,JapanKorea-SChina,Charadriifor,ori,0.0595132,-0.288423888,0.089354062,0.137951834,0.258777778,origin
144,JapanKorea-USAandCanada,Sulifor,ori,-0.540342058,-0.748961913,-0.747215003,0.410871548,0.272083333,origin
142,JapanKorea-USAandCanada,Pelecanifor,ori,-0.270258863,-0.410346284,-0.389803302,0.397829211,0.278444444,origin
279,SChina-JapanKorea,Falconifor,dest,-0.316561679,-0.874824354,-0.298266724,0.582485034,0.293527778,destination
17,Europe-Africa,Sulifor,dest,-0.196564239,-0.321278547,-0.32097127,0.411703647,0.30811562,destination
287,SChina-JapanKorea,Sulifor,dest,-0.333467335,-0.94017961,-0.334858113,0.747651198,0.33825,destination
281,SChina-JapanKorea,Gruifor,dest,-0.054623436,-0.128570618,-0.093827585,0.203484103,0.340527778,destination
131,JapanKorea-USAandCanada,Charadriifor,dest,0.100925501,-0.290002545,0.14955765,0.347639067,0.349416667,destination
286,SChina-JapanKorea,Pelecanifor,ori,0.104275064,-0.16673067,0.088491161,0.326068558,0.365583333,origin
309,SChina-SEA,Anserifor,dest,0.253430001,-0.215265692,0.183457672,0.853552099,0.366305556,destination
139,JapanKorea-USAandCanada,Passerifor,dest,0.483174836,-0.458309461,0.743229543,0.74349742,0.367666667,destination
116,JapanKorea-SChina,Ciconiifor,ori,-0.065794993,-0.243424704,-0.062128761,0.164420702,0.373472222,origin
129,JapanKorea-USAandCanada,Anserifor,dest,0.497789909,-0.445876967,0.773247861,0.773456589,0.375055556,destination
140,JapanKorea-USAandCanada,Passerifor,ori,0.507630502,-0.49127206,0.792384577,0.792641961,0.376611111,origin
306,SChina-NChina,Sulifor,ori,0.425722459,-0.097904331,0.613229398,0.723805368,0.377111111,origin
134,JapanKorea-USAandCanada,Ciconiifor,ori,0.21437195,-0.287717556,0.33307297,0.349842512,0.388,origin
342,SEA-SChina,Sulifor,ori,-0.532689852,-0.826866027,-0.681718314,0.023394393,0.389055556,origin
130,JapanKorea-USAandCanada,Anserifor,ori,-0.299214564,-0.475296898,-0.475106702,0.274828709,0.38925,origin
298,SChina-NChina,Falconifor,ori,-0.209581683,-0.449335165,-0.275049882,0.166819871,0.391555556,origin
204,NChina-SChina,Charadriifor,ori,-0.328876388,-0.707151861,-0.445977236,0.240975036,0.391944444,origin
284,SChina-JapanKorea,Passerifor,ori,0.253710281,-0.182896989,0.383177172,0.475388166,0.395694444,origin
103,JapanKorea-Europe,Passerifor,dest,0.356119794,-0.35924015,0.546378712,0.593915131,0.398138889,destination
288,SChina-JapanKorea,Sulifor,ori,-0.123543159,-0.450950372,-0.147394901,0.448635235,0.403944444,origin
352,USAandCanada-JapanKorea,Falconifor,ori,0.037662653,-0.742674934,0.127273518,0.610265736,0.410805556,origin
141,JapanKorea-USAandCanada,Pelecanifor,dest,0.26034129,-0.366193878,0.433635136,0.433873835,0.411805556,destination
127,JapanKorea-USAandCanada,Accipitrifor,dest,0.574559617,-0.474935866,0.922419804,0.922577952,0.412083333,destination
38,Europe-JapanKorea,Accipitrifor,ori,0.083854144,-0.027265992,0.064884414,0.261496776,0.414194444,origin
349,USAandCanada-JapanKorea,Ciconiifor,dest,0.004452676,-0.283920166,-0.010314773,0.284530417,0.417555556,destination
87,Europe-Russia,Pelecanifor,dest,0.138728587,-0.191657225,0.187112541,0.454392348,0.421361111,destination
216,NChina-SChina,Sulifor,ori,0.166259382,-0.376439971,0.183951389,0.542340889,0.426,origin
358,USAandCanada-JapanKorea,Pelecanifor,ori,-0.045891337,-0.28833344,-0.114188044,0.385829337,0.427472222,origin
135,JapanKorea-USAandCanada,Falconifor,dest,-0.550380663,-0.894532938,-0.894404546,0.408876119,0.441,destination
235,Russia-Africa,Accipitrifor,dest,-0.318412973,-0.578927132,-0.578664747,0.751698868,0.446725752,destination
91,JapanKorea-Europe,Accipitrifor,dest,-0.176520525,-0.334177431,-0.295702331,0.396801164,0.448083333,destination
132,JapanKorea-USAandCanada,Charadriifor,ori,0.008703364,-0.234583118,-0.026721743,0.372996878,0.449,origin
109,JapanKorea-SChina,Accipitrifor,dest,0.113654393,-0.209824785,0.162266841,0.270252901,0.45,destination
199,NChina-SChina,Accipitrifor,dest,-0.295156888,-0.636070338,-0.390683551,0.179991518,0.4525,destination
137,JapanKorea-USAandCanada,Gruifor,dest,-0.234897881,-0.444475179,-0.444023603,0.627213615,0.460388889,destination
212,NChina-SChina,Passerifor,ori,-0.321894426,-0.718369937,-0.442762485,0.283698707,0.462333333,origin
206,NChina-SChina,Ciconiifor,ori,-0.227487991,-0.640433347,-0.32534761,0.523415849,0.464111111,origin
213,NChina-SChina,Pelecanifor,dest,-0.214199742,-0.711786436,-0.192709621,0.231751753,0.465138889,destination
335,SEA-SChina,Gruifor,dest,-0.24239129,-0.74182287,-0.302666621,0.232004727,0.478305556,destination
234,Qinghai-Europe,Sulifor,ori,0.185523243,-0.115077546,0.257956162,0.429161953,0.484333333,origin
334,SEA-SChina,Falconifor,ori,-0.384648297,-0.748183535,-0.481410203,0.111427029,0.487527778,origin
322,SChina-SEA,Pelecanifor,ori,-0.059126579,-0.152268482,-0.065456644,0.061650358,0.488666667,origin
261,Russia-Europe,Falconifor,dest,0.256227752,-0.089301468,0.385815371,0.4638764,0.496388889,destination
360,USAandCanada-JapanKorea,Sulifor,ori,-0.041765713,-0.737163503,0.105447684,0.257200608,0.499333333,origin
350,USAandCanada-JapanKorea,Ciconiifor,ori,-0.110298544,-0.28784782,-0.275559465,0.562098372,0.507416667,origin
6,Europe-Africa,Charadriifor,ori,0.030909004,-0.586218616,0.183577148,0.3408922,0.507615342,origin
202,NChina-SChina,Anserifor,ori,-0.239236492,-0.574392336,-0.320359925,0.221253662,0.507833333,origin
229,Qinghai-Europe,Passerifor,dest,0.436259026,-0.179469048,0.700968136,0.775952413,0.509138889,destination
7,Europe-Africa,Ciconiifor,dest,-0.001768974,-0.388459457,-0.21112758,0.75799763,0.510478043,destination
19,Europe-CA,Accipitrifor,dest,0.271005942,-0.179103466,0.43323316,0.433661762,0.511562661,destination
86,Europe-Russia,Passerifor,ori,-0.289477955,-0.693089787,-0.416955566,0.362114707,0.514166667,origin
43,Europe-JapanKorea,Ciconiifor,dest,0.118349166,-0.052875627,0.068519189,0.491856263,0.515027778,destination
156,NChina-Europe,Gruifor,ori,0.026155402,-0.406918404,0.094366924,0.126799831,0.518527778,origin
23,Europe-CA,Charadriifor,dest,-0.339383897,-0.765798421,-0.76292326,0.777225932,0.520118335,destination
21,Europe-CA,Anserifor,dest,-0.29743017,-0.634306973,-0.63243537,0.867029403,0.522125615,destination
35,Europe-CA,Sulifor,dest,-0.176872566,-0.3918322,-0.389843823,0.433697699,0.524007278,destination
304,SChina-NChina,Pelecanifor,ori,-0.038242139,-0.100360451,-0.067981074,0.127117873,0.526,origin
217,Qinghai-Europe,Accipitrifor,dest,-0.327942302,-0.781239474,-0.604133009,0.41322326,0.528166667,destination
