,od,birdorder,birdloc,avgCorr,quant025,quant50,quant975,pval,birdloc_lab
351,Russia-SChina,Falconifor,dest,-0.211629043,-0.394428995,-0.258717582,0.300979976,0.209677419,destination
176,JapanKorea-Russia,Passerifor,ori,0.361408167,-0.329077475,0.462298636,0.584733326,0.209892473,origin
343,Russia-SChina,Accipitrifor,dest,0.146947747,-0.126713812,0.184285373,0.255106724,0.210483871,destination
44,CA-JapanKorea,Ciconiifor,ori,-0.245952682,-0.487308741,-0.304222728,0.325643266,0.213154122,origin
222,NChina-CA,Charadriifor,ori,-0.381240867,-0.721019247,-0.356323625,0.22991619,0.214820789,origin
373,Russia-WA,Passerifor,dest,0.449308063,-0.388186245,0.557480723,0.591265511,0.221236559,destination
394,SChina-JapanKorea,Pelecanifor,ori,0.198085978,-0.082110616,0.264653574,0.364488216,0.224820789,origin
260,NChina-SChina,Ciconiifor,ori,-0.259607699,-0.619477663,-0.357784293,0.955624098,0.22516129,origin
311,Russia-Europe,Charadriifor,dest,0.136838752,-0.599928379,0.188395059,0.692454105,0.225573477,destination
420,SChina-SEA,Charadriifor,ori,0.41477949,-0.254212221,0.471933333,0.818507442,0.22609319,origin
365,Russia-WA,Charadriifor,dest,0.478119255,-0.433771652,0.591644051,0.621519843,0.226182796,destination
361,Russia-WA,Accipitrifor,dest,0.304244886,-0.330596963,0.379193628,0.517427328,0.226612903,destination
165,JapanKorea-Russia,Anserifor,dest,0.190170802,-0.332216839,0.204862302,0.500401149,0.226845878,destination
377,Russia-WA,Sulifor,dest,-0.521034817,-0.696304182,-0.659864124,0.533858021,0.228691756,destination
367,Russia-WA,Ciconiifor,dest,-0.291353476,-0.434244787,-0.407433034,0.602116891,0.228978495,destination
363,Russia-WA,Anserifor,dest,-0.24502484,-0.38152869,-0.343701012,0.556860131,0.230035842,destination
371,Russia-WA,Gruifor,dest,-0.351531392,-0.614226614,-0.477906218,0.697063118,0.230035842,destination
372,Russia-WA,Gruifor,ori,0.134881781,-0.543533893,0.206885578,0.332079274,0.230035842,origin
364,Russia-WA,Anserifor,ori,0.166414981,-0.524068106,0.242931387,0.348180065,0.230053763,origin
362,Russia-WA,Accipitrifor,ori,0.147727172,-0.555385412,0.224129231,0.340137905,0.230071685,origin
378,Russia-WA,Sulifor,ori,-0.084084201,-0.217526866,-0.145317572,0.490686585,0.230071685,origin
390,SChina-JapanKorea,Gruifor,ori,-0.351128794,-0.651706178,-0.441986667,0.045572216,0.230340502,origin
370,Russia-WA,Falconifor,ori,-0.092669031,-0.294732971,-0.157991185,0.556802137,0.232329749,origin
374,Russia-WA,Passerifor,ori,0.133380895,-0.58100739,0.20361253,0.394479281,0.232544803,origin
366,Russia-WA,Charadriifor,ori,0.074220583,-0.490891597,0.130748034,0.246779643,0.232706093,origin
194,JapanKorea-SChina,Passerifor,ori,-0.218772581,-0.479231404,-0.267154439,0.344805936,0.234139785,origin
507,USAandCanada-JapanKorea,Anserifor,dest,-0.140924478,-0.304467179,-0.199204742,0.166441753,0.234874552,destination
105,Europe-JapanKorea,Pelecanifor,dest,-0.149538803,-0.301687335,-0.182429948,0.182693433,0.235483871,destination
171,JapanKorea-Russia,Falconifor,dest,-0.10196808,-0.405005443,-0.113449053,0.43343099,0.236648746,destination
230,NChina-CA,Passerifor,ori,-0.379495306,-0.723495285,-0.391092956,0.361179349,0.239354839,origin
411,SChina-NChina,Pelecanifor,dest,-0.296095066,-0.606325745,-0.347913801,0.283508311,0.24155914,destination
518,USAandCanada-JapanKorea,Passerifor,ori,0.363295789,-0.120449013,0.548254231,0.559207729,0.244480287,origin
426,SChina-SEA,Gruifor,ori,0.422672164,-0.287704195,0.530181673,0.706196477,0.249784946,origin
170,JapanKorea-Russia,Ciconiifor,ori,0.082675797,-0.374483132,0.133028827,0.20659617,0.250681004,origin
234,NChina-CA,Sulifor,ori,0.198772289,-0.152464469,0.273498903,0.381715718,0.251487455,origin
173,JapanKorea-Russia,Gruifor,dest,0.115742457,-0.370790877,0.168749763,0.249731369,0.251577061,destination
66,CA-Mongolia,Gruifor,ori,0.309639753,-0.423408341,0.333507546,0.755900152,0.253297491,origin
282,Russia-Africa,Gruifor,ori,-0.188738079,-0.530933648,-0.228285628,0.601733592,0.253315412,origin
187,JapanKorea-SChina,Ciconiifor,dest,0.349725915,-0.463280049,0.474795782,0.631607673,0.254928315,destination
131,Europe-WA,Charadriifor,dest,0.213623406,-0.436854745,0.247645291,0.515934087,0.255609319,destination
15,Africa-Europe,Pelecanifor,dest,-0.223311125,-0.524218261,-0.337978742,0.685514208,0.257706093,destination
307,Russia-Europe,Accipitrifor,dest,0.110360043,-0.667417923,0.162933031,0.620935248,0.258010753,destination
254,NChina-SChina,Accipitrifor,ori,-0.247281388,-0.643053727,-0.278838798,0.46126082,0.259193548,origin
48,CA-JapanKorea,Gruifor,ori,-0.29874382,-0.561567039,-0.407665473,0.512246288,0.259480287,origin
249,NChina-JapanKorea,Pelecanifor,dest,-0.062533391,-0.264645229,-0.061795581,0.129115269,0.259874552,destination
63,CA-Mongolia,Falconifor,dest,-0.14879721,-0.436337677,-0.171318416,0.088993391,0.261684588,destination
17,Africa-Europe,Sulifor,dest,0.450376752,-0.531497962,0.653944599,0.786989653,0.264336918,destination
546,WA-Africa,Charadriifor,ori,-0.111346422,-0.485411328,-0.09309539,0.269286814,0.268207885,origin
104,Europe-JapanKorea,Passerifor,ori,-0.424184008,-0.721605937,-0.567643427,0.558707076,0.270268817,origin
445,SEA-JapanKorea,Passerifor,dest,0.335426798,-0.351046904,0.468528768,0.484049009,0.270824373,destination
244,NChina-JapanKorea,Falconifor,ori,0.066011601,-0.368664168,0.10800408,0.200349816,0.273512545,origin
8,Africa-Europe,Ciconiifor,ori,0.312300323,-0.710310185,0.400946761,0.684079866,0.276290323,origin
238,NChina-JapanKorea,Anserifor,ori,-0.081980603,-0.32727067,-0.073830978,0.333315909,0.277885305,origin
34,Africa-Russia,Pelecanifor,ori,0.172578189,-0.508693339,0.249470453,0.347922118,0.278870968,origin
395,SChina-JapanKorea,Sulifor,dest,-0.488545023,-0.908914032,-0.655014585,0.241447258,0.280483871,destination
163,JapanKorea-Russia,Accipitrifor,dest,0.082815952,-0.346741574,0.080975419,0.353396896,0.280716846,destination
5,Africa-Europe,Charadriifor,dest,-0.261029693,-0.591976998,-0.376491719,0.69017386,0.281290323,destination
508,USAandCanada-JapanKorea,Anserifor,ori,0.338687356,-0.1513547,0.51942207,0.52948823,0.282992832,origin
197,JapanKorea-SChina,Sulifor,dest,-0.131315407,-0.29686311,-0.155622976,0.048616497,0.283333333,destination
164,JapanKorea-Russia,Accipitrifor,ori,0.019947613,-0.340487994,0.049429234,0.133467994,0.283566308,origin
477,SEA-SChina,Falconifor,dest,0.235533365,-0.380992475,0.322649595,0.501560967,0.284103943,destination
120,Europe-USAandCanada,Gruifor,ori,-0.136089729,-0.45881374,-0.024164966,0.002600999,0.288870968,origin
368,Russia-WA,Ciconiifor,ori,-0.004239044,-0.15455764,0.00706045,0.01564577,0.289390681,origin
265,NChina-SChina,Passerifor,dest,0.418785361,-0.567732138,0.677070908,0.744976993,0.290537634,destination
207,JapanKorea-USAandCanada,Falconifor,dest,-0.236672968,-0.8278698,-0.157701297,0.44631891,0.292007168,destination
94,Europe-JapanKorea,Anserifor,ori,0.341257766,-0.479397632,0.443810865,0.694457776,0.292508961,origin
14,Africa-Europe,Passerifor,ori,0.2408042,-0.795820454,0.354525362,0.600012508,0.293136201,origin
478,SEA-SChina,Falconifor,ori,-0.201882599,-0.413156003,-0.27615566,0.291616464,0.29344086,origin
437,SEA-JapanKorea,Charadriifor,dest,-0.08539965,-0.244407172,-0.1086251,0.155828588,0.293494624,destination
42,CA-JapanKorea,Charadriifor,ori,-0.081759594,-0.482586771,-0.10768064,0.558589754,0.293870968,origin
175,JapanKorea-Russia,Passerifor,dest,0.094277488,-0.469552639,0.162430197,0.243391203,0.294982079,destination
77,Europe-Africa,Charadriifor,dest,0.468127449,-0.298327356,0.575032116,0.934721679,0.29811828,destination
415,SChina-SEA,Accipitrifor,dest,0.166318331,-0.117378811,0.158352418,0.45951355,0.29874552,destination
267,NChina-SChina,Pelecanifor,dest,0.392660522,-0.291895321,0.63025937,0.666421886,0.302867384,destination
287,Russia-Africa,Sulifor,dest,-0.179777345,-0.398983645,-0.242320621,0.251676423,0.304874552,destination
57,CA-Mongolia,Anserifor,dest,-0.398199085,-0.778654935,-0.55091413,0.395798886,0.3059319,destination
99,Europe-JapanKorea,Falconifor,dest,-0.321725707,-0.813699509,-0.377654324,0.476475086,0.306415771,destination
193,JapanKorea-SChina,Passerifor,dest,0.35891884,-0.400855968,0.49177582,0.657086969,0.30702509,destination
107,Europe-JapanKorea,Sulifor,dest,-0.35738294,-0.795650736,-0.4520163,0.58181485,0.30937276,destination
424,SChina-SEA,Falconifor,ori,-0.254421386,-0.652842641,-0.258120165,0.211858556,0.312007168,origin
189,JapanKorea-SChina,Falconifor,dest,-0.245415582,-0.490418735,-0.358865485,0.380278847,0.312473118,destination
219,NChina-CA,Anserifor,dest,0.284731892,-0.551455286,0.348668038,0.677841411,0.313064516,destination
549,WA-Africa,Falconifor,dest,-0.292320117,-0.604458184,-0.424958061,0.64225342,0.315143369,destination
475,SEA-SChina,Ciconiifor,dest,-0.376521628,-0.575081963,-0.564464178,0.354910801,0.317078853,destination
218,NChina-CA,Accipitrifor,ori,-0.325356696,-0.723227165,-0.393388063,0.596977636,0.319982079,origin
376,Russia-WA,Pelecanifor,ori,0.091095535,-0.354130451,0.130108675,0.287594646,0.32155914,origin
