,od,birdorder,birdloc,avgCorr,quant025,quant50,quant975,pval,birdloc_lab
59,Mongolia-Africa,Charadriifor,dest,0.311332932,0.091538323,0.184595482,0.733973492,0.007853535,destination
347,WA-Africa,Charadriifor,dest,0.325222907,0.079144873,0.185634331,0.801545793,0.009451127,destination
56,Mongolia-Africa,Accipitrifor,ori,-0.323825073,-0.771775474,-0.234480354,-0.033743216,0.014191919,origin
60,Mongolia-Africa,Charadriifor,ori,-0.32740037,-0.779616767,-0.227541621,-0.047834924,0.014192098,origin
58,Mongolia-Africa,Anserifor,ori,-0.221809429,-0.53878445,-0.124797804,-0.055888791,0.014393939,origin
68,Mongolia-Africa,Passerifor,ori,-0.296944662,-0.715578,-0.192786139,-0.05821784,0.015227273,origin
70,Mongolia-Africa,Pelecanifor,ori,-0.33067339,-0.793370381,-0.239361681,-0.036675243,0.016767677,origin
374,WA-CA,Passerifor,ori,-0.103444676,-0.227344586,-0.073347799,-0.022815328,0.018888889,origin
64,Mongolia-Africa,Falconifor,ori,-0.257070704,-0.623951759,-0.156364269,-0.084967119,0.020682079,origin
372,WA-CA,Gruifor,ori,0.258964618,0.003651951,0.238137682,0.578683003,0.025808081,origin
375,WA-CA,Pelecanifor,dest,-0.173485837,-0.381700591,-0.152918896,-0.00546546,0.045959596,destination
14,CA-Mongolia,Passerifor,ori,-0.328221264,-0.777121265,-0.297726364,-0.004651156,0.049167287,origin
179,Mongolia-Russia,Sulifor,dest,-0.386255259,-0.744525623,-0.362393507,0.018724787,0.060277778,destination
62,Mongolia-Africa,Ciconiifor,ori,-0.295478118,-0.71169548,-0.246627998,0.00098727,0.066489899,origin
350,WA-Africa,Ciconiifor,ori,-0.231800128,-0.700340746,-0.144777697,0.000545694,0.070327504,origin
367,WA-CA,Ciconiifor,dest,0.189129293,-0.044283759,0.158115903,0.437373321,0.07530303,destination
72,Mongolia-Africa,Sulifor,ori,0.271758877,-0.001178123,0.229080303,0.65829665,0.075682774,origin
79,Mongolia-CA,Ciconiifor,dest,0.333598815,-0.086588382,0.284573626,0.819851637,0.076010101,destination
364,WA-CA,Anserifor,ori,0.296294266,-0.002775148,0.290328461,0.623779749,0.077045455,origin
211,NChina-Qinghai,Passerifor,dest,-0.201762899,-0.487687709,-0.182594,0.127434497,0.101767677,destination
202,NChina-Qinghai,Anserifor,ori,0.188687845,-0.06735056,0.184818492,0.460013731,0.13479798,origin
358,WA-Africa,Pelecanifor,ori,-0.198169709,-0.609046801,-0.101347628,0.185476859,0.135853634,origin
184,Mongolia-WA,Anserifor,ori,-0.215685682,-0.644000557,-0.167699339,0.059842057,0.141691919,origin
205,NChina-Qinghai,Ciconiifor,dest,-0.165149794,-0.457187208,-0.152976876,0.122372314,0.145681818,destination
11,CA-Mongolia,Gruifor,dest,0.092932089,-0.042041246,0.096478226,0.226840872,0.173133499,destination
174,Mongolia-Russia,Gruifor,ori,-0.277166015,-0.548721716,-0.309863544,0.147709854,0.182777778,origin
190,Mongolia-WA,Falconifor,ori,-0.217156749,-0.687412315,-0.170419875,0.128083125,0.216035354,origin
213,NChina-Qinghai,Pelecanifor,dest,-0.206076902,-0.544949123,-0.199425047,0.096433003,0.218358586,destination
157,Mongolia-Qinghai,Passerifor,dest,0.314372748,-0.199959572,0.39295296,0.472423916,0.228207071,destination
84,Mongolia-CA,Gruifor,ori,0.183836513,-0.103484927,0.172050934,0.51361655,0.252626263,origin
80,Mongolia-CA,Ciconiifor,ori,-0.343233282,-0.846319339,-0.333316861,0.097565778,0.256035354,origin
44,JapanKorea-Russia,Ciconiifor,ori,-0.06079865,-0.23590142,-0.040053131,0.013041001,0.26530303,origin
159,Mongolia-Qinghai,Pelecanifor,dest,0.466331845,-0.41040233,0.619871294,0.709779915,0.272121212,destination
154,Mongolia-Qinghai,Falconifor,ori,0.528381503,-0.547074399,0.696248162,0.852413362,0.273080808,origin
152,Mongolia-Qinghai,Ciconiifor,ori,0.479756334,-0.428396307,0.640265306,0.737804396,0.274191919,origin
158,Mongolia-Qinghai,Passerifor,ori,0.516551477,-0.467067491,0.663644647,0.815738943,0.274924242,origin
150,Mongolia-Qinghai,Charadriifor,ori,0.542453734,-0.537691172,0.720509834,0.85922336,0.275707071,origin
160,Mongolia-Qinghai,Pelecanifor,ori,0.505430407,-0.495886485,0.678627285,0.79504551,0.277070707,origin
162,Mongolia-Qinghai,Sulifor,ori,-0.508042279,-0.797439829,-0.682728729,0.494103652,0.27780303,origin
149,Mongolia-Qinghai,Charadriifor,dest,0.474640121,-0.420197348,0.649750585,0.717679726,0.279141414,destination
146,Mongolia-Qinghai,Accipitrifor,ori,0.544196136,-0.563282083,0.745085227,0.866787177,0.281969697,origin
67,Mongolia-Africa,Passerifor,dest,0.216467182,-0.007541446,0.172951682,0.532214125,0.285606061,destination
145,Mongolia-Qinghai,Accipitrifor,dest,0.540320386,-0.575110156,0.767357542,0.839196977,0.289242424,destination
151,Mongolia-Qinghai,Ciconiifor,dest,0.325044282,-0.319649948,0.454675823,0.502813781,0.295277778,destination
275,SChina-JapanKorea,Charadriifor,dest,-0.238644307,-0.696596129,-0.241591605,0.421653887,0.296111111,destination
134,Mongolia-NChina,Ciconiifor,ori,-0.296221454,-0.873110806,-0.305872387,0.716050874,0.297777778,origin
139,Mongolia-NChina,Passerifor,dest,-0.310636157,-0.905740825,-0.29625386,0.732712506,0.301944444,destination
284,SChina-JapanKorea,Passerifor,ori,-0.318609618,-0.827684259,-0.3458944,0.424763076,0.304924242,origin
383,WA-Europe,Charadriifor,dest,-0.217013081,-0.650024149,-0.212020823,0.263610386,0.305984848,destination
128,Mongolia-NChina,Accipitrifor,ori,-0.28743996,-0.87960633,-0.31697454,0.77595994,0.307828283,origin
142,Mongolia-NChina,Pelecanifor,ori,-0.282910764,-0.881849303,-0.316604303,0.792205607,0.308661616,origin
203,NChina-Qinghai,Charadriifor,dest,-0.13691713,-0.468133062,-0.120162507,0.156779241,0.310934343,destination
88,Mongolia-CA,Pelecanifor,ori,-0.350036602,-0.890467332,-0.360242831,0.137804028,0.311313131,origin
187,Mongolia-WA,Ciconiifor,dest,-0.266807353,-0.759247515,-0.254880006,0.108420151,0.313434343,destination
271,SChina-JapanKorea,Accipitrifor,dest,0.245657841,-0.52022703,0.256506395,0.719773062,0.315277778,destination
153,Mongolia-Qinghai,Falconifor,dest,0.554945521,-0.592077961,0.81790965,0.880811786,0.322752525,destination
90,Mongolia-CA,Sulifor,ori,0.304447357,-0.155452888,0.30981053,0.851632116,0.338282828,origin
141,Mongolia-NChina,Pelecanifor,dest,-0.275738289,-0.897833737,-0.303249321,0.857267885,0.341565657,destination
156,Mongolia-Qinghai,Gruifor,ori,-0.117631055,-0.411093593,-0.095402743,0.064951782,0.347676768,origin
286,SChina-JapanKorea,Pelecanifor,ori,-0.194444729,-0.642460343,-0.202491192,0.585895439,0.353383838,origin
127,Mongolia-NChina,Accipitrifor,dest,-0.239540133,-0.814240213,-0.269067137,0.805982191,0.361944444,destination
133,Mongolia-NChina,Ciconiifor,dest,-0.224165411,-0.795184773,-0.247505327,0.821408848,0.363964646,destination
140,Mongolia-NChina,Passerifor,ori,-0.254849091,-0.802198549,-0.289421702,0.728928705,0.366969697,origin
132,Mongolia-NChina,Charadriifor,ori,-0.252889502,-0.828693705,-0.276831126,0.799958642,0.369570707,origin
229,NChina-SChina,Passerifor,dest,0.132904795,-0.251600996,0.109030576,0.543552967,0.369772727,destination
246,Qinghai-Russia,Gruifor,ori,0.13346398,-0.154263847,0.132771165,0.635227547,0.37510101,origin
343,WA-Africa,Accipitrifor,dest,0.291838999,-0.011081989,0.210209051,0.717437221,0.383452947,destination
161,Mongolia-Qinghai,Sulifor,dest,0.221262652,-0.361615033,0.341810892,0.422148106,0.384090909,destination
274,SChina-JapanKorea,Anserifor,ori,0.265791569,-0.493544722,0.290236517,0.79906784,0.38510101,origin
74,Mongolia-CA,Accipitrifor,ori,-0.339794018,-0.931248291,-0.37201553,0.179436735,0.385353535,origin
