,index,od,month,counts
156,160,Russia-Africa,Jan,42
157,159,Russia-Africa,Feb,28
158,163,Russia-Africa,Mar,4
159,156,Russia-Africa,Apr,13
160,164,Russia-Africa,May,41
161,162,Russia-Africa,Jun,417
162,161,Russia-Africa,Jul,3014
163,157,Russia-Africa,Aug,11294
164,167,Russia-Africa,Sep,22718
165,166,Russia-Africa,Oct,43722
166,165,Russia-Africa,Nov,54022
167,158,Russia-Africa,Dec,732
168,172,Russia-Europe,Jan,6626
169,171,Russia-Europe,Feb,832
170,175,Russia-Europe,Mar,1538
171,168,Russia-Europe,Apr,5126
172,176,Russia-Europe,May,6555
173,174,Russia-Europe,Jun,4166
174,173,Russia-Europe,Jul,4518
175,169,Russia-Europe,Aug,5570
176,179,Russia-Europe,Sep,5892
177,178,Russia-Europe,Oct,5732
178,177,Russia-Europe,Nov,3490
179,170,Russia-Europe,Dec,2986
180,184,SChina-JapanKorea,Jan,23858
181,183,SChina-JapanKorea,Feb,23573
182,187,SChina-JapanKorea,Mar,28581
183,180,SChina-JapanKorea,Apr,31304
184,188,SChina-JapanKorea,May,35824
185,186,SChina-JapanKorea,Jun,37521
186,185,SChina-JapanKorea,Jul,41660
187,181,SChina-JapanKorea,Aug,30564
188,191,SChina-JapanKorea,Sep,36779
189,190,SChina-JapanKorea,Oct,58121
190,189,SChina-JapanKorea,Nov,114134
191,182,SChina-JapanKorea,Dec,57399
192,196,SChina-NChina,Jan,116663
193,195,SChina-NChina,Feb,152468
194,199,SChina-NChina,Mar,166296
195,192,SChina-NChina,Apr,144018
196,200,SChina-NChina,May,74431
197,198,SChina-NChina,Jun,33028
198,197,SChina-NChina,Jul,31556
199,193,SChina-NChina,Aug,33362
200,203,SChina-NChina,Sep,37078
201,202,SChina-NChina,Oct,49729
202,201,SChina-NChina,Nov,71714
203,194,SChina-NChina,Dec,97710
204,208,SChina-SEA,Jan,129841
205,207,SChina-SEA,Feb,152851
206,211,SChina-SEA,Mar,123025
207,204,SChina-SEA,Apr,59623
208,212,SChina-SEA,May,39908
209,210,SChina-SEA,Jun,34821
210,209,SChina-SEA,Jul,35689
211,205,SChina-SEA,Aug,10550
212,215,SChina-SEA,Sep,10853
213,214,SChina-SEA,Oct,20230
214,213,SChina-SEA,Nov,35545
215,206,SChina-SEA,Dec,64384
216,220,SEA-SChina,Jan,32046
217,219,SEA-SChina,Feb,27341
218,223,SEA-SChina,Mar,31551
219,216,SEA-SChina,Apr,25910
220,224,SEA-SChina,May,35703
221,222,SEA-SChina,Jun,47289
222,221,SEA-SChina,Jul,68236
223,217,SEA-SChina,Aug,73470
224,227,SEA-SChina,Sep,65047
225,226,SEA-SChina,Oct,84663
226,225,SEA-SChina,Nov,135764
227,218,SEA-SChina,Dec,85601
228,232,USAandCanada-JapanKorea,Jan,32
229,231,USAandCanada-JapanKorea,Feb,31
230,235,USAandCanada-JapanKorea,Mar,36
231,228,USAandCanada-JapanKorea,Apr,38
232,236,USAandCanada-JapanKorea,May,76
233,234,USAandCanada-JapanKorea,Jun,133
234,233,USAandCanada-JapanKorea,Jul,602
235,229,USAandCanada-JapanKorea,Aug,1990
236,239,USAandCanada-JapanKorea,Sep,9574
237,238,USAandCanada-JapanKorea,Oct,23900
238,237,USAandCanada-JapanKorea,Nov,13632
239,230,USAandCanada-JapanKorea,Dec,29
