# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Sep 29 22:52:04 CST 2019 [seed=1569768696745]
# -working -beagle 2.3.4.4fCS_empT/2.3.4.4fCS_empT.xml
state	joint	prior	likelihood	age(root)	location.precision.col11	location.precision.col12	location.precision.col21	location.precision.col22	correlation	location.varCovar.location.precision.col11	location.varCovar.location.precision.col12	location.varCovar.location.precision.col21	location.varCovar.location.precision.col22	location.diffusionRate	location.traitLikelihood
200000	-10607.202522911059	8.307155673701068	-10615.50967858476	2008.563710007795	6.965962480463192E-5	7.022796047764388E-7	7.022796047764388E-7	5.541380672104386E-6	-0.03574460463551174	14373.883208746434	-1821.6552184832433	-1821.655218483243	180691.3061120977	3914.380640663936	-10615.50967858476
210000	-10736.93553646116	8.31231909486101	-10745.247855556021	2008.2780594952026	7.73101039438269E-5	2.0010728169993988E-6	2.0010728169993988E-6	4.9871643748050794E-6	-0.1019102630429539	13070.66793281168	-5244.535037287086	-5244.535037287085	202619.08783393787	3930.9310786815095	-10745.247855556021
220000	-10294.71460072581	8.188292643077542	-10302.902893368888	2005.3779895533476	7.056119399860526E-5	1.1804892996247575E-6	1.1804892996247575E-6	6.949539471026686E-6	-0.053309066955970805	14212.485630632238	-2414.2156869501655	-2414.2156869501655	144304.5197406837	3440.313979909351	-10302.902893368888
230000	-10635.551019504492	8.344270881294477	-10643.895290385786	2009.0516799815475	7.81964479255837E-5	1.6400310399731718E-6	1.6400310399731718E-6	4.611763203021727E-6	-0.08636247004415501	12884.402678789898	-4581.939573758589	-4581.939573758589	218466.2305436888	3983.0618469113824	-10643.895290385786
240000	-9982.186528153998	8.071009187636985	-9990.257537341635	2006.4799181715418	7.797175968255844E-5	2.0819985258804512E-7	2.0819985258804512E-7	7.929514033121696E-6	-0.008373142142865162	12826.055465421783	-336.7650080487502	-336.7650080487502	126119.97535381425	3122.9270639467272	-9990.257537341635
250000	-10512.006351805618	8.2258660105209	-10520.23221781614	2008.7710558200545	6.332704085637595E-5	1.8909207264330193E-6	1.8909207264330193E-6	7.218951764460478E-6	-0.08843855841879987	15915.523940254421	-4168.886989774367	-4168.886989774368	139616.25838491073	3699.2951055417598	-10520.23221781614
260000	-10362.652050144203	8.363135659043927	-10371.015185803246	2007.584797124436	6.675074866030599E-5	2.2934417369726667E-6	2.2934417369726667E-6	5.242552551661834E-6	-0.12259937181950788	15209.716639622247	-6653.7433063555845	-6653.7433063555845	193657.5671109051	3754.053297823963	-10371.015185803246
270000	-10516.624305002098	8.173099037530108	-10524.79740403963	2007.9787829555535	7.9513504478102E-5	1.0100625568272645E-6	1.0100625568272645E-6	6.352089361231636E-6	-0.04494377265321338	12601.935202128609	-2003.867100629941	-2003.867100629941	157747.15595829044	3581.733017004843	-10524.79740403963
280000	-10292.960096559325	8.20702733994672	-10301.167123899271	2004.7076274545702	7.421054187426209E-5	2.6599485131788225E-6	2.6599485131788225E-6	6.4420163933640895E-6	-0.12165487481354714	13677.60173492914	-5647.5665656724495	-5647.5665656724495	157562.81485638744	3400.5594734377337	-10301.167123899271
290000	-10144.66157270657	8.155701326880518	-10152.81727403345	2008.7423981671807	7.410511429953083E-5	1.6869498600462786E-6	1.6869498600462786E-6	7.081191041347206E-6	-0.07364189037014064	13567.925887494992	-3232.2826122586025	-3232.282612258602	141989.2067350708	3412.30964907939	-10152.81727403345
300000	-10468.468965211508	8.618967476340558	-10477.08793268785	2008.6549470633088	3.9922684387573064E-5	-4.561399274063076E-7	-4.561399274063076E-7	5.181290934609383E-6	0.03171532980045653	25073.636462013765	2207.381685363195	2207.381685363195	193196.42296774162	4107.191228599983	-10477.08793268785
310000	-10540.463041067294	8.290554330956137	-10548.75359539825	2006.5388225144834	6.662741007826668E-5	1.722779619618694E-6	1.722779619618694E-6	6.0260689737896894E-6	-0.08597777668019832	15120.612194663558	-4322.798600285884	-4322.798600285884	167181.49654611782	3784.229258493277	-10548.75359539825
320000	-10360.031556794745	8.260762346550848	-10368.292319141296	2006.7238405334815	6.61660802693099E-5	-7.223432622868926E-8	-7.223432622868926E-8	6.393103018237534E-6	0.0035121258626375665	15113.670495667395	170.7661838050475	170.7661838050475	156420.49444964452	3414.878225462831	-10368.292319141296
330000	-10207.055066613839	8.15148249743418	-10215.206549111273	2008.9017523607952	7.309706262186182E-5	1.0688555593134129E-6	1.0688555593134129E-6	7.2160476181634E-6	-0.0465392481116639	13710.135085885868	-2030.7729218140473	-2030.772921814047	138880.81896863267	3597.208013732734	-10215.206549111273
340000	-10196.864742788493	8.09458034495923	-10204.959323133453	2009.0442746379615	7.963859012763641E-5	2.1973981891103163E-6	2.1973981891103163E-6	7.466153731401746E-6	-0.09011529667327388	12659.531664912602	-3725.8852357224255	-3725.8852357224255	135034.3550025624	3484.973375679359	-10204.959323133453
350000	-10398.983608583027	8.099924722844936	-10407.083533305871	2008.6823872035566	7.082524105501276E-5	1.5737902170362518E-6	1.5737902170362518E-6	8.273555989291241E-6	-0.06501397284917682	14179.192947631316	-2697.1564796726793	-2697.1564796726793	121380.06436184811	3544.5440196812315	-10407.083533305871
360000	-10503.096634069725	8.345841702142252	-10511.442475771868	2008.0456565870472	6.462285992919697E-5	3.335640931633307E-6	3.335640931633307E-6	5.693682114203845E-6	-0.17389600275342462	15956.93509378825	-9348.36275974617	-9348.362759746167	181110.00241701366	3829.272915649019	-10511.442475771868
370000	-11098.58356584666	8.6679873317177	-11107.251553178377	2008.0592951678877	3.736604518263441E-5	-1.7016957970983246E-7	-1.7016957970983246E-7	5.014570250988739E-6	0.012431584862752657	26766.40150974948	908.3185731340794	908.3185731340795	199449.70717931996	4075.3437964013606	-11107.251553178377
380000	-10519.421075530381	8.25484836809807	-10527.67592389848	2008.191664475942	7.417180034985164E-5	2.6070789801799174E-6	2.6070789801799174E-6	5.862443093850809E-6	-0.1250245953905103	13696.301793183335	-6090.863474421212	-6090.863474421212	173286.0082174406	3818.057723541271	-10527.67592389848
390000	-10269.215402309197	8.494617271646813	-10277.710019580843	2007.6006312219315	5.526707475869852E-5	1.4413915260000615E-6	1.4413915260000615E-6	4.83224183148803E-6	-0.08820117992812122	18235.820275571514	-5439.495317388691	-5439.495317388691	208565.81222588543	4103.261098197636	-10277.710019580843
400000	-11322.765978436102	7.985659556021408	-11330.751637992124	2008.2984324800477	8.212226535624994E-5	2.156730390727584E-6	2.156730390727584E-6	8.986076886249554E-6	-0.07939265626428393	12254.206234716947	-2941.107597365322	-2941.107597365322	111989.15710119712	3249.329006636905	-11330.751637992124
410000	-10338.51889095508	8.359211316306492	-10346.878102271387	2005.7386665244442	6.228582936469197E-5	1.1286668532993283E-6	1.1286668532993283E-6	5.597994229265724E-6	-0.06044424006995587	16113.888398828085	-3248.8800396472398	-3248.88003964724	179290.44977646292	3649.400596082401	-10346.878102271387
420000	-10140.253914628818	8.126929693523795	-10148.380844322342	2008.2607593475195	7.184274781038308E-5	1.2641035016071956E-6	1.2641035016071956E-6	7.717113433902942E-6	-0.053686331039948174	13959.523875734512	-2286.6429479397466	-2286.6429479397466	129956.6945525903	3547.368514352787	-10148.380844322342
430000	-10215.994122459266	8.214109034008779	-10224.208231493274	2008.5629295257877	7.862317433852853E-5	1.626412125524562E-6	1.626412125524562E-6	5.939849250407787E-6	-0.07526058762837722	12791.348478758535	-3502.446508425242	-3502.446508425242	169313.45882242048	3478.0354288352796	-10224.208231493274
440000	-10388.902235237962	8.299033463412755	-10397.201268701374	2007.6995341191866	6.682483423247711E-5	-6.15808404774736E-7	-6.15808404774736E-7	5.869242412474028E-6	0.031094647894201008	14978.979362695249	1571.6136322620955	1571.6136322620957	170544.63634973177	3772.2567812033967	-10397.201268701374
450000	-10443.833033048671	8.243827850268406	-10452.07686089894	2008.770618661064	6.914206260005133E-5	2.14878542912885E-6	2.14878542912885E-6	6.395373740274684E-6	-0.10218541668725581	14615.590052197434	-4910.700799940039	-4910.70079994004	158012.9767806688	3597.320848233778	-10452.07686089894
460000	-10760.070999393762	8.385477244524541	-10768.456476638286	2008.6557591895958	5.907050750090615E-5	5.591592475453572E-7	5.591592475453572E-7	5.585476721127599E-6	-0.03078364468967572	16944.979381203062	-1696.353309400651	-1696.3533094006507	179205.5685871668	3928.0323843635983	-10768.456476638286
470000	-11073.729621103035	8.184573416468847	-11081.914194519504	2007.86297858959	6.75814810607616E-5	5.097780309133242E-7	5.097780309133242E-7	7.293213844993135E-6	-0.022961898294261224	14804.758806804368	-1034.8168795106171	-1034.8168795106174	137186.09493372598	3383.5479403638165	-11081.914194519504
480000	-10251.150039685577	8.177631812176557	-10259.327671497755	2008.1825727906	6.568800133054876E-5	-3.2695169459168804E-7	-3.2695169459168804E-7	7.605969526464133E-6	0.014627270006604465	15226.73825592703	654.5395506197606	654.5395506197607	131503.8141206217	3571.6580569095677	-10259.327671497755
490000	-10613.371376341482	8.463730071381072	-10621.835106412862	2008.3686784860408	5.5004412351296606E-5	8.983679910757507E-7	8.983679910757507E-7	5.139203325172579E-6	-0.053432759652797895	18232.41430350873	-3187.1510765248595	-3187.151076524859	195139.82441552758	3862.038583232142	-10621.835106412862
500000	-10169.496774024545	8.306740299918875	-10177.803514324463	2008.8735438849515	6.959067252057459E-5	1.1492901133163797E-6	1.1492901133163797E-6	5.563368974094612E-6	-0.05840973311546131	14418.934896035671	-2978.687805488077	-2978.6878054880767	180362.54311333026	3726.42166161437	-10177.803514324463
510000	-10438.011332317623	8.087537926706098	-10446.098870244328	2008.436292165101	7.816298344418541E-5	8.498561349773796E-7	8.498561349773796E-7	7.661605497122185E-6	-0.03472841454509948	12809.228550438096	-1420.8512134964624	-1420.8512134964624	130678.55288251904	3344.067805916512	-10446.098870244328
520000	-10706.965615391284	8.278655631591104	-10715.244271022875	2008.4480171630878	7.439565121295629E-5	1.1051629652092856E-6	1.1051629652092856E-6	5.50233283185577E-6	-0.05462344912891864	13481.87204596414	-2707.8815735442713	-2707.8815735442713	182284.98367500148	3837.174117661157	-10715.244271022875
530000	-10488.20789467899	8.342653506208364	-10496.550548185198	2008.577599003167	6.887833030117644E-5	1.2676869526491504E-6	1.2676869526491504E-6	5.236823405624039E-6	-0.06674776843776077	14583.326837509834	-3530.2112991389713	-3530.2112991389713	191810.02012121814	3894.8271354911026	-10496.550548185198
540000	-13114.988328441548	8.335602307081029	-13123.32393074863	2009.329424854444	5.707843925060769E-5	1.4468234205889233E-6	1.4468234205889233E-6	6.417375677909989E-6	-0.0755963372298034	17620.447687949723	-3972.601523694867	-3972.6015236948665	156722.5768606866	3789.6557937645484	-13123.32393074863
550000	-10386.833678018887	8.257959963957024	-10395.091637982845	2009.03612977572	6.186721757564078E-5	3.98691509412386E-7	3.98691509412386E-7	6.878269674365443E-6	-0.019327117866424465	16169.689154750278	-937.2586538534084	-937.2586538534084	145439.7289474848	3712.1031332579496	-10395.091637982845
560000	-10223.118712909596	8.176844427509153	-10231.295557337105	2009.0029774608997	6.574201818128239E-5	1.7076723135189197E-6	1.7076723135189197E-6	7.654425365031977E-6	-0.07612489818750925	15299.633411300452	-3413.2882793295953	-3413.2882793295953	131404.87102893947	3498.1901803545397	-10231.295557337105
570000	-10156.48077621543	8.192186759234811	-10164.672962974666	2008.4394979344333	7.910389164871454E-5	2.6641902848814006E-6	2.6641902848814006E-6	6.223144037857082E-6	-0.12007743127950855	12826.543745126122	-5491.171829945051	-5491.171829945051	163041.30524212294	3415.759458110965	-10164.672962974666
580000	-10316.483891822394	8.373496989392567	-10324.857388811786	2008.1209735060577	5.9779861606470854E-5	7.873325273160547E-7	7.873325273160547E-7	5.658046889030951E-6	-0.04281022104020327	16758.755425565247	-2332.026143060433	-2332.0261430604323	177063.9409120497	3682.3444048340975	-10324.857388811786
590000	-10419.600430622415	8.251086087219285	-10427.851516709634	2008.6663591448819	7.094426774579783E-5	1.4791535629199627E-7	1.4791535629199627E-7	6.07923914396756E-6	-0.007122459604211602	14096.286617373036	-342.9799697009514	-342.97996970095136	164502.6142780995	3672.43815165283	-10427.851516709634
600000	-10293.98724054744	8.381787111648922	-10302.36902765909	2005.7866411183782	6.69594518447208E-5	3.7747540779354352E-6	3.7747540779354352E-6	5.171970139495446E-6	-0.20284051929079783	15575.243507328465	-11367.566393154213	-11367.566393154211	201646.51756873875	3529.5341665892306	-10302.36902765909
610000	-10496.102006102683	8.237269710361847	-10504.339275813045	2009.023758484528	7.222670511557221E-5	1.779877114675826E-6	1.779877114675826E-6	6.182143617162539E-6	-0.08423092545485449	13944.22663688465	-4014.6284864594268	-4014.628486459427	162912.026593978	3648.525290780622	-10504.339275813045
620000	-10504.687479438704	8.311244822677594	-10512.998724261382	2008.515417916095	6.653809165030191E-5	5.657879577589797E-7	5.657879577589797E-7	5.751570322671799E-6	-0.02892179957420477	15041.567107443561	-1479.6546087020279	-1479.6546087020279	174011.11602758316	3801.2946601205367	-10512.998724261382
630000	-10867.051841464487	8.487162903285636	-10875.539004367773	2006.3032669633856	4.5987294987190645E-5	3.61229689053958E-6	3.61229689053958E-6	6.13250470070641E-6	-0.21510255055319127	22800.075491270487	-13430.179970623889	-13430.179970623889	170976.43597835192	3880.9386445665427	-10875.539004367773
640000	-10141.146881625997	8.31854212808065	-10149.465423754078	2008.3242800822466	5.3963997113201216E-5	-1.9258540931425534E-7	-1.9258540931425534E-7	6.9839085892043135E-6	0.009920237108845953	18532.697247983142	511.0500860101667	511.05008601016675	143200.38815169214	3561.7561410911944	-10149.465423754078
650000	-10534.84750142473	8.40967720716067	-10543.257178631891	2008.1862806501188	6.197986859186046E-5	2.325066757941436E-6	2.325066757941436E-6	5.154182901166031E-6	-0.13008588877627048	16412.000484986696	-7403.500708197331	-7403.500708197331	197356.91435375743	4104.514168020686	-10543.257178631891
660000	-10496.412309525269	8.335231772964317	-10504.747541298233	2007.4482276343354	5.120599519687018E-5	4.249891039832539E-7	4.249891039832539E-7	7.121294788436945E-6	-0.022255528304409862	19538.640937367923	-1166.0392880386714	-1166.0392880386714	140493.48941666714	3493.213532910398	-10504.747541298233
670000	-10327.918428663193	8.226796198976114	-10336.14522486217	2005.7386665244442	7.263176122709414E-5	1.753020110303185E-6	1.753020110303185E-6	6.275567527277185E-6	-0.08211019944496273	13861.537047954398	-3872.088556000239	-3872.088556000239	160429.76905777378	3566.727885499126	-10336.14522486217
680000	-10273.348728507097	8.228363810991429	-10281.577092318088	2008.5620140514068	7.95639669766355E-5	1.6946401425605892E-6	1.6946401425605892E-6	5.7084154759007075E-6	-0.07951727488836283	12648.479832537592	-3754.91618594986	-3754.9161859498604	176294.6716035716	3858.5382921783366	-10281.577092318088
690000	-10518.575383513124	8.420773955531565	-10526.996157468655	2007.0758938556796	6.0627894610618076E-5	9.900069369698148E-7	9.900069369698148E-7	5.082431289045537E-6	-0.056398328940824846	16546.6890701254	-3223.130039871748	-3223.130039871749	197384.05972363372	3745.2933623442136	-10526.996157468655
700000	-10465.819494027917	8.239665421566734	-10474.059159449484	2004.653268294064	6.730441400955875E-5	1.8311022133929905E-6	1.8311022133929905E-6	6.605564320123669E-6	-0.08684320660950082	14970.772236269351	-4149.988229547951	-4149.988229547951	152537.92163722598	3461.77840057348	-10474.059159449484
710000	-10379.111468996354	8.222443939037088	-10387.333912935392	2008.4967613872457	7.459381602633366E-5	2.489236036337341E-6	2.489236036337341E-6	6.205419152334761E-6	-0.1156988670210908	13587.826768449508	-5450.608124482261	-5450.608124482261	163335.92063351013	3726.8241218646863	-10387.333912935392
720000	-10352.194486547234	8.329117880083192	-10360.523604427317	2007.3148761000402	6.37479846596206E-5	-8.750931374802313E-7	-8.750931374802313E-7	5.799682458271761E-6	0.04551126849883409	15719.329481519295	2371.832846718872	2371.8328467188726	172781.11032065382	3651.5901468830434	-10360.523604427317
730000	-10488.462017071739	8.662470166910644	-10497.124487238649	2005.9445058947535	3.761204111744945E-5	1.3719470642786626E-6	1.3719470642786626E-6	5.086311598983033E-6	-0.0991910351043233	26851.417698473466	-7242.718611755206	-7242.718611755206	198559.72385544027	3870.4955978435073	-10497.124487238649
740000	-10457.961925082285	8.288033706081109	-10466.249958788367	2008.8515230316027	7.014371404857917E-5	2.437566222109917E-6	2.437566222109917E-6	5.795073683535997E-6	-0.12090174332295364	14467.9260039047	-6085.604714793745	-6085.604714793744	175120.13132414044	3988.2229360586866	-10466.249958788367
750000	-10464.134045986726	8.316549947740363	-10472.450595934466	2008.6327253030292	6.617511321801489E-5	-6.819981762425413E-7	-6.819981762425413E-7	5.7243269441317355E-6	0.035040770855121854	15129.99852083988	1802.5929508347244	1802.5929508347244	174907.7882652007	3822.5111426836843	-10472.450595934466
760000	-10166.347379146808	8.156135547605182	-10174.503514694414	2007.9049967644505	7.769346435870056E-5	7.432537656866371E-7	7.432537656866371E-7	6.718768062810225E-6	-0.032531197483833096	12884.731144546347	-1425.3542991091733	-1425.3542991091733	148994.48687495585	3544.4301806310714	-10174.503514694414
770000	-10326.961357963635	8.161907418197927	-10335.123265381833	2008.9432896920305	6.952575566954659E-5	3.059802151269891E-6	3.059802151269891E-6	7.54875961630158E-6	-0.1335619308267049	14644.397342744978	-5935.936600314709	-5935.936600314709	134878.15791361505	3565.7514976217435	-10335.123265381833
780000	-10201.161841944864	8.123587391453594	-10209.285429336318	2008.527036033703	7.188180938181839E-5	2.010644781829813E-6	2.010644781829813E-6	7.798510817484261E-6	-0.08492196044439415	14012.782023910242	-3612.8342596032567	-3612.8342596032567	129161.0859977781	3404.6798185297853	-10209.285429336318
790000	-10265.67668851537	8.239002193507758	-10273.915690708878	2009.2390561001964	7.542123649071337E-5	4.032268619985721E-6	4.032268619985721E-6	6.073517518777724E-6	-0.18840068942998894	13746.805478942642	-9126.64072943079	-9126.640729430788	170708.50027412456	3781.897777023682	-10273.915690708878
800000	-10375.121923911493	8.270043469211675	-10383.391967380705	2007.8531507885475	6.829012061009567E-5	1.0174526458393612E-6	1.0174526458393612E-6	6.095411281920799E-6	-0.04986935582265592	14679.914811212571	-2450.3872625733557	-2450.387262573356	164466.8598453833	3732.504991076698	-10383.391967380705
810000	-11099.977137437418	8.662664550167548	-11108.639801987585	2008.0592951678877	3.677250092675736E-5	4.4799871575816594E-7	4.4799871575816594E-7	5.154709057530609E-6	-0.03253966716006179	27223.058726463838	-2365.971621744146	-2365.971621744146	194202.99789482684	4093.2570201386498	-11108.639801987585
820000	-10206.560681125786	8.160036878697888	-10214.720718004484	2007.8767303487236	7.775881972285659E-5	2.979308419681414E-6	2.979308419681414E-6	6.768046132118063E-6	-0.12987004136072253	13080.90299137901	-5758.241545415553	-5758.241545415553	150287.92027463566	3482.620679183571	-10214.720718004484
830000	-9974.619452577102	8.082840357765033	-9982.702292934868	2008.1614185930193	8.122566134093268E-5	1.873096564308429E-6	1.873096564308429E-6	7.476509789512897E-6	-0.07600883675069887	12382.920598117276	-3102.3039735695565	-3102.3039735695565	134529.47207066565	3443.0622839298017	-9982.702292934868
840000	-10315.928187105175	8.234364063624561	-10324.1625511688	2006.88364047206	5.857357445127324E-5	2.8638085738478678E-6	2.8638085738478678E-6	7.753302039626993E-6	-0.1343846825547894	17386.532865631154	-6421.999508802534	-6421.999508802535	131349.3750210652	3279.734754502172	-10324.1625511688
850000	-10260.813097823908	8.222581435018686	-10269.035679258926	2007.8309558043213	6.19865767396351E-5	9.547889300180787E-7	9.547889300180787E-7	7.380321602751571E-6	-0.04463966278865366	16164.73647968011	-2091.22478371455	-2091.2247837145505	135765.99126792798	3547.9317129617766	-10269.035679258926
860000	-10648.878091805243	8.416127303454203	-10657.294219108697	2008.8325676935594	6.998659529835758E-5	-7.151874628378286E-8	-7.151874628378286E-8	4.429808562454177E-6	0.00406181351526973	14288.686202523415	230.6891841575901	230.6891841575901	225747.11401235108	3986.4161574828204	-10657.294219108697
870000	-10259.813120929015	8.168887948540725	-10267.982008877556	2008.0939857191618	8.10249380747186E-5	9.705139903606552E-7	9.705139903606552E-7	6.2852378173425755E-6	-0.043006251362416446	12364.748293426834	-1909.2612809251661	-1909.261280925166	159397.7815795647	3727.1315060742036	-10267.982008877556
880000	-10333.448151576798	8.282061126588559	-10341.730212703387	2008.6671640995096	7.192305054795978E-5	-1.4368750081953414E-6	-1.4368750081953414E-6	5.664713603811321E-6	0.07118622493950802	13974.564219613965	3544.6985464674085	3544.698546467409	177430.55678521164	3833.216000922535	-10341.730212703387
890000	-10567.040296481906	8.342730972431628	-10575.383027454338	2007.1997089236909	6.771446890104291E-5	1.0618805568203992E-6	1.0618805568203992E-6	5.318936634923703E-6	-0.055952889912155905	14814.271962792778	-2957.5436671779185	-2957.543667177918	188597.95236694205	3727.445890691428	-10575.383027454338
900000	-10319.467619483376	8.163984481807379	-10327.631603965183	2008.2866091171525	6.492644773990083E-5	-6.71743523330388E-7	-6.71743523330388E-7	7.913375345214964E-6	0.0296354675846128	15415.582829494246	1308.5841973030535	1308.5841973030535	126479.40850732922	3534.915660643755	-10327.631603965183
