date,lon,lat,individual,source file,ym,lon_indx,lat_indx,time_indx,u10_0001,v10_0001,t2m_0001,lai_hv_0001,lai_lv_0001,sp_0001,tp_0001
5/20/14 10:02,163.6542367,18.45060333,CH18,White pelicans,2014-05,1055,246,412,-2.737894773,3.382098913,296.7038574,6.27E-08,4.02E-08,101473.6953,0.000785036
5/21/14 1:01,163.6541683,18.45051167,CH18,White pelicans,2014-05,1055,246,412,-2.737894773,3.382098913,296.7038574,6.27E-08,4.02E-08,101473.6953,0.000785036
5/22/14 1:01,163.6544133,18.4539,CH18,White pelicans,2014-05,1055,246,412,-2.737894773,3.382098913,296.7038574,6.27E-08,4.02E-08,101473.6953,0.000785036
5/23/14 1:01,163.6541833,18.45050667,CH18,White pelicans,2014-05,1055,246,412,-2.737894773,3.382098913,296.7038574,6.27E-08,4.02E-08,101473.6953,0.000785036
