Location,Sequence name
Africa,EPI_ISL_13957819|A/chicken/Mali/T1-177_22VIR6104-1/2022|2022-03-16
Africa,EPI_ISL_13957821|A/chicken/Mali/T2-178_22VIR6104-3/2022|2022-03-16
Africa,EPI_ISL_13957822|A/chicken/Mali/S3-179_22VIR6104-5/2022|2022-03-16
Africa,EPI_ISL_13957823|A/chicken/Mali/T4_180_22VIR6104-7/2022|2022-03-16
Africa,EPI_ISL_14224174|A/chicken/Egypt/Dakahlia_segment_4_HA_gene/2021|2021-03-03
Africa,EPI_ISL_14542488|A/chicken/South_Africa/26683/2021__H5N1_|2021-04-09
Africa,EPI_ISL_14542530|A/chicken/South_Africa/26700/2021__H5N1_|2021-04-19
Africa,EPI_ISL_14542586|A/chicken/South_Africa/690109/2021__mixed_|2021-04-26
Africa,EPI_ISL_14542831|A/chicken/South_Africa/UP01/2021__H5N1_|2021-05-01
Africa,EPI_ISL_14543004|A/chicken/South_Africa/21050090/2021__H5N1_|2021-05-06
Africa,EPI_ISL_14543005|A/chicken/South_Africa/21050118/2021__H5N1_|2021-05-07
Africa,EPI_ISL_14571452|A/chicken/South_Africa/21050119/2021__H5N1_|2021-05-07
Africa,EPI_ISL_14572124|A/chicken/South_Africa/21050125/2021__H5N1_|2021-05-08
Africa,EPI_ISL_14573036|A/chicken/South_Africa/690841/2021__H5N1_|2021-05-10
Africa,EPI_ISL_14573038|A/chicken/South_Africa/690813/2021__H5N1_|2021-05-10
Africa,EPI_ISL_14573053|A/chicken/South_Africa/UP481/2021__H5N1_|2021-05-10
Africa,EPI_ISL_14619009|A/Hartlaubs_gull/South_Africa/21050295/2021__H5N1_|2021-05-17
Africa,EPI_ISL_14619020|A/chicken/South_Africa/21050293/2021__H5N1_|2021-05-17
Africa,EPI_ISL_14619775|A/chicken/South_Africa/692328/2021__H5N1_|2021-05-18
Africa,EPI_ISL_14620174|A/chicken/South_Africa/692329/2021__H5N1_|2021-05-18
Africa,EPI_ISL_14620233|A/Buff_Orpington_chicken/South_Africa/21050364/2021__H5N1_|2021-05-19
Africa,EPI_ISL_14639383|A/Kelp_gull/South_Africa/21050387/2021__H5N1_|2021-05-20
Africa,EPI_ISL_14639837|A/Spotted_eagle_owl/South_Africa/21050363/2021__H5N1_|2021-05-20
Africa,EPI_ISL_14644201|A/chicken/South_Africa/693331/2021__H5N1_|2021-05-23
Africa,EPI_ISL_14644592|A/African_barn_owl/South_Africa/21050429/2021__H5N1_|2021-05-25
Africa,EPI_ISL_14645331|A/Black-headed_heron/South_Africa/2021__H5N1_|2021-05-25
Africa,EPI_ISL_14645717|A/chicken/South_Africa/693781/2021__H5N1_|2021-05-27
Africa,EPI_ISL_14646080|A/pelican/South_Africa/21050494/2021__H5N1_|2021-05-29
Africa,EPI_ISL_14710814|A/African_fish_eagle/South_Africa/21060065/2021__H5N1_|2021-06-03
Africa,EPI_ISL_14711044|A/chicken/South_Africa/695344/2021__H5N1_|2021-06-08
Africa,EPI_ISL_14769966|A/chicken/Lesotho/341.10/2021|2021-05-29
Africa,EPI_ISL_14769967|A/chicken/Lesotho/352.3/2021|2021-06-05
Africa,EPI_ISL_14770047|A/chicken/Egypt/N15172D/2018|2018-02-05
Africa,EPI_ISL_14871335|A/poultry/Benin/21-A-08-035-O/2021|2021-09-01
Africa,EPI_ISL_14871336|A/poultry/Benin/21-A-08-009-O/2021|2021-08-01
Africa,EPI_ISL_14871337|A/poultry/Benin/21-A-08-033-O/2021|2021-09-01
Africa,EPI_ISL_14871338|A/poultry/Benin/21-A-08-034-O/2021|2021-09-01
Africa,EPI_ISL_14871339|A/poultry/Benin/21-A-09-031-O/2021|2021-09-01
Africa,EPI_ISL_14901700|A/duck/Egypt/Ismailia/2021|2021-02-20
Africa,EPI_ISL_14918217|A/chicken/South_Africa/697352/2021__H5N1_|2021-06-20
Africa,EPI_ISL_14918305|A/ostrich/South_Africa/21060357/2021__H5N1_|2021-06-21
Africa,EPI_ISL_14918892|A/chicken/South_Africa/683320/2021__H5N1_|2021-06-30
Africa,EPI_ISL_14918903|A/chicken/South_Africa/411255/2021__H5N1_|2021-07-19
Africa,EPI_ISL_14932914|A/chicken/South_Africa/411542/2021__H5N1_|2021-07-20
Africa,EPI_ISL_14933095|A/chicken/South_Africa/411554/2021__H5N1_|2021-07-23
Africa,EPI_ISL_14933096|A/chicken/South_Africa/33071/2021__H5N1_|2021-07-25
Africa,EPI_ISL_14933117|A/chicken/South_Africa/33069/2021__H5N1_|2021-07-26
Africa,EPI_ISL_14933695|A/chicken/South_Africa/412364/2021__H5N1_|2021-07-26
Africa,EPI_ISL_14933721|A/chicken/South_Africa/33081/2021__H5N1_|2021-07-27
Africa,EPI_ISL_14933722|A/ostrich/South_Africa/21070586/2021__H5N1_|2021-07-28
Africa,EPI_ISL_14933723|A/chicken/South_Africa/412372/2021__H5N1_|2021-07-28
Africa,EPI_ISL_14933725|A/chicken/South_Africa/412369/2021__H5N1_|2021-07-28
Africa,EPI_ISL_14934317|A/chicken/South_Africa/412374/2021__H5N1_|2021-07-30
Africa,EPI_ISL_14934318|A/chicken/South_Africa/411262/2021__H5N1_|2021-08-09
