Location	lat	long
Africa	8.026693	-7.546616
CA	25.52026	83.473704
Europe	49.512838	11.784004
JapanKorea	38.389548	140.234209
LA	-8.7832	55.4915
Mongolia	47.953116	102.837314
NChina	38.273597	111.853957
Russia	57.00416	101.654804
SChina	24.044104	112.149584
SEA	13.74395	102.366493
USAandCanada	40.522638	-110.78285
WA	34.10001	43.268346
