,index,od,month,counts
137,138,JapanKorea-USAandCanada,Jun,1227
138,137,JapanKorea-USAandCanada,Jul,2721
139,133,JapanKorea-USAandCanada,Aug,5769
140,143,JapanKorea-USAandCanada,Sep,9615
141,142,JapanKorea-USAandCanada,Oct,5325
142,141,JapanKorea-USAandCanada,Nov,996
143,134,JapanKorea-USAandCanada,Dec,678
144,148,NChina-CA,Jan,13113
145,147,NChina-CA,Feb,11238
146,151,NChina-CA,Mar,18975
147,144,NChina-CA,Apr,5949
148,152,NChina-CA,May,7110
149,150,NChina-CA,Jun,5619
150,149,NChina-CA,Jul,5733
151,145,NChina-CA,Aug,4617
152,155,NChina-CA,Sep,6120
153,154,NChina-CA,Oct,7440
154,153,NChina-CA,Nov,10833
155,146,NChina-CA,Dec,12471
156,160,NChina-JapanKorea,Jan,20169
157,159,NChina-JapanKorea,Feb,3291
158,163,NChina-JapanKorea,Mar,4428
159,156,NChina-JapanKorea,Apr,5544
160,164,NChina-JapanKorea,May,6615
161,162,NChina-JapanKorea,Jun,6114
162,161,NChina-JapanKorea,Jul,6786
163,157,NChina-JapanKorea,Aug,8790
164,167,NChina-JapanKorea,Sep,14436
165,166,NChina-JapanKorea,Oct,32700
166,165,NChina-JapanKorea,Nov,54207
167,158,NChina-JapanKorea,Dec,60024
168,172,NChina-SChina,Jan,46764
169,171,NChina-SChina,Feb,28992
170,175,NChina-SChina,Mar,18858
171,168,NChina-SChina,Apr,7533
172,176,NChina-SChina,May,9360
173,174,NChina-SChina,Jun,11466
174,173,NChina-SChina,Jul,13824
175,169,NChina-SChina,Aug,17181
176,179,NChina-SChina,Sep,41259
177,178,NChina-SChina,Oct,94941
178,177,NChina-SChina,Nov,76140
179,170,NChina-SChina,Dec,55839
180,184,Russia-Africa,Jan,780
181,183,Russia-Africa,Feb,645
182,187,Russia-Africa,Mar,702
183,180,Russia-Africa,Apr,789
184,188,Russia-Africa,May,738
185,186,Russia-Africa,Jun,825
186,185,Russia-Africa,Jul,759
187,181,Russia-Africa,Aug,750
188,191,Russia-Africa,Sep,1911
189,190,Russia-Africa,Oct,3237
190,189,Russia-Africa,Nov,3867
191,182,Russia-Africa,Dec,1680
192,196,Russia-CA,Jan,237
193,195,Russia-CA,Feb,138
194,199,Russia-CA,Mar,102
195,192,Russia-CA,Apr,126
196,200,Russia-CA,May,114
197,198,Russia-CA,Jun,102
198,197,Russia-CA,Jul,468
199,193,Russia-CA,Aug,2577
200,203,Russia-CA,Sep,4257
201,202,Russia-CA,Oct,3690
202,201,Russia-CA,Nov,1590
203,194,Russia-CA,Dec,450
204,208,Russia-Europe,Jan,34923
205,207,Russia-Europe,Feb,18843
206,211,Russia-Europe,Mar,17928
207,204,Russia-Europe,Apr,9486
208,212,Russia-Europe,May,6462
209,210,Russia-Europe,Jun,11403
210,209,Russia-Europe,Jul,31587
211,205,Russia-Europe,Aug,80277
212,215,Russia-Europe,Sep,124812
213,214,Russia-Europe,Oct,125043
214,213,Russia-Europe,Nov,76638
215,206,Russia-Europe,Dec,48951
216,220,Russia-NChina,Jan,1125
217,219,Russia-NChina,Feb,912
218,223,Russia-NChina,Mar,1236
219,216,Russia-NChina,Apr,1647
220,224,Russia-NChina,May,2739
221,222,Russia-NChina,Jun,7521
222,221,Russia-NChina,Jul,16947
223,217,Russia-NChina,Aug,19125
224,227,Russia-NChina,Sep,31704
225,226,Russia-NChina,Oct,35907
226,225,Russia-NChina,Nov,13077
227,218,Russia-NChina,Dec,1827
228,232,Russia-SChina,Jan,1896
229,231,Russia-SChina,Feb,582
230,235,Russia-SChina,Mar,870
231,228,Russia-SChina,Apr,1263
232,236,Russia-SChina,May,1455
233,234,Russia-SChina,Jun,2289
234,233,Russia-SChina,Jul,4539
235,229,Russia-SChina,Aug,6504
236,239,Russia-SChina,Sep,12558
237,238,Russia-SChina,Oct,13998
238,237,Russia-SChina,Nov,11472
239,230,Russia-SChina,Dec,6468
240,244,Russia-WA,Jan,2529
241,243,Russia-WA,Feb,978
242,247,Russia-WA,Mar,1560
243,240,Russia-WA,Apr,6768
244,248,Russia-WA,May,11208
245,246,Russia-WA,Jun,2001
246,245,Russia-WA,Jul,8553
247,241,Russia-WA,Aug,23721
248,251,Russia-WA,Sep,34341
249,250,Russia-WA,Oct,45219
250,249,Russia-WA,Nov,16785
251,242,Russia-WA,Dec,11847
252,256,SChina-JapanKorea,Jan,438
253,255,SChina-JapanKorea,Feb,336
254,259,SChina-JapanKorea,Mar,477
255,252,SChina-JapanKorea,Apr,489
256,260,SChina-JapanKorea,May,597
257,258,SChina-JapanKorea,Jun,786
258,257,SChina-JapanKorea,Jul,1146
259,253,SChina-JapanKorea,Aug,1044
260,263,SChina-JapanKorea,Sep,1005
261,262,SChina-JapanKorea,Oct,1374
262,261,SChina-JapanKorea,Nov,1647
263,254,SChina-JapanKorea,Dec,1032
264,268,SChina-NChina,Jan,17757
265,267,SChina-NChina,Feb,21720
266,271,SChina-NChina,Mar,7875
267,264,SChina-NChina,Apr,8781
268,272,SChina-NChina,May,22722
269,270,SChina-NChina,Jun,8256
