,index,od,month,counts,direction
135,132,NChina-SChina,Apr,46884,NS
136,140,NChina-SChina,May,47607,NS
137,138,NChina-SChina,Jun,45680,NS
138,137,NChina-SChina,Jul,45693,NS
139,133,NChina-SChina,Aug,45671,NS
140,143,NChina-SChina,Sep,43050,NS
141,142,NChina-SChina,Oct,43788,NS
142,141,NChina-SChina,Nov,49456,NS
143,134,NChina-SChina,Dec,54803,NS
144,148,Qinghai-Europe,Jan,8896,SN
145,147,Qinghai-Europe,Feb,8161,SN
146,151,Qinghai-Europe,Mar,6266,SN
147,144,Qinghai-Europe,Apr,1548,SN
148,152,Qinghai-Europe,May,442,SN
149,150,Qinghai-Europe,Jun,245,SN
150,149,Qinghai-Europe,Jul,165,SN
151,145,Qinghai-Europe,Aug,129,SN
152,155,Qinghai-Europe,Sep,88,SN
153,154,Qinghai-Europe,Oct,334,SN
154,153,Qinghai-Europe,Nov,1486,SN
155,146,Qinghai-Europe,Dec,5343,SN
156,160,Russia-Africa,Jan,42,NS
157,159,Russia-Africa,Feb,28,NS
158,163,Russia-Africa,Mar,4,NS
159,156,Russia-Africa,Apr,13,NS
160,164,Russia-Africa,May,41,NS
161,162,Russia-Africa,Jun,417,NS
162,161,Russia-Africa,Jul,3014,NS
163,157,Russia-Africa,Aug,11294,NS
164,167,Russia-Africa,Sep,22718,NS
165,166,Russia-Africa,Oct,43722,NS
166,165,Russia-Africa,Nov,54022,NS
167,158,Russia-Africa,Dec,732,NS
168,172,Russia-Europe,Jan,6626,NS
169,171,Russia-Europe,Feb,832,NS
170,175,Russia-Europe,Mar,1538,NS
171,168,Russia-Europe,Apr,5126,NS
172,176,Russia-Europe,May,6555,NS
173,174,Russia-Europe,Jun,4166,NS
174,173,Russia-Europe,Jul,4518,NS
175,169,Russia-Europe,Aug,5570,NS
176,179,Russia-Europe,Sep,5892,NS
177,178,Russia-Europe,Oct,5732,NS
178,177,Russia-Europe,Nov,3490,NS
179,170,Russia-Europe,Dec,2986,NS
180,184,SChina-JapanKorea,Jan,23858,SN
181,183,SChina-JapanKorea,Feb,23573,SN
182,187,SChina-JapanKorea,Mar,28581,SN
183,180,SChina-JapanKorea,Apr,31304,SN
184,188,SChina-JapanKorea,May,35824,SN
185,186,SChina-JapanKorea,Jun,37521,SN
186,185,SChina-JapanKorea,Jul,41660,SN
187,181,SChina-JapanKorea,Aug,30564,SN
188,191,SChina-JapanKorea,Sep,36779,SN
189,190,SChina-JapanKorea,Oct,58121,SN
190,189,SChina-JapanKorea,Nov,114134,SN
191,182,SChina-JapanKorea,Dec,57399,SN
192,196,SChina-NChina,Jan,116663,SN
193,195,SChina-NChina,Feb,152468,SN
194,199,SChina-NChina,Mar,166296,SN
195,192,SChina-NChina,Apr,144018,SN
196,200,SChina-NChina,May,74431,SN
197,198,SChina-NChina,Jun,33028,SN
198,197,SChina-NChina,Jul,31556,SN
199,193,SChina-NChina,Aug,33362,SN
200,203,SChina-NChina,Sep,37078,SN
201,202,SChina-NChina,Oct,49729,SN
202,201,SChina-NChina,Nov,71714,SN
203,194,SChina-NChina,Dec,97710,SN
204,208,SChina-SEA,Jan,129841,NS
205,207,SChina-SEA,Feb,152851,NS
206,211,SChina-SEA,Mar,123025,NS
207,204,SChina-SEA,Apr,59623,NS
208,212,SChina-SEA,May,39908,NS
209,210,SChina-SEA,Jun,34821,NS
210,209,SChina-SEA,Jul,35689,NS
211,205,SChina-SEA,Aug,10550,NS
212,215,SChina-SEA,Sep,10853,NS
213,214,SChina-SEA,Oct,20230,NS
214,213,SChina-SEA,Nov,35545,NS
215,206,SChina-SEA,Dec,64384,NS
216,220,SEA-SChina,Jan,32046,SN
217,219,SEA-SChina,Feb,27341,SN
218,223,SEA-SChina,Mar,31551,SN
219,216,SEA-SChina,Apr,25910,SN
220,224,SEA-SChina,May,35703,SN
221,222,SEA-SChina,Jun,47289,SN
222,221,SEA-SChina,Jul,68236,SN
223,217,SEA-SChina,Aug,73470,SN
224,227,SEA-SChina,Sep,65047,SN
225,226,SEA-SChina,Oct,84663,SN
226,225,SEA-SChina,Nov,135764,SN
227,218,SEA-SChina,Dec,85601,SN
228,232,USAandCanada-JapanKorea,Jan,32,NS
229,231,USAandCanada-JapanKorea,Feb,31,NS
230,235,USAandCanada-JapanKorea,Mar,36,NS
231,228,USAandCanada-JapanKorea,Apr,38,NS
232,236,USAandCanada-JapanKorea,May,76,NS
233,234,USAandCanada-JapanKorea,Jun,133,NS
234,233,USAandCanada-JapanKorea,Jul,602,NS
235,229,USAandCanada-JapanKorea,Aug,1990,NS
236,239,USAandCanada-JapanKorea,Sep,9574,NS
237,238,USAandCanada-JapanKorea,Oct,23900,NS
238,237,USAandCanada-JapanKorea,Nov,13632,NS
239,230,USAandCanada-JapanKorea,Dec,29,NS
