,index,od,month,counts
133,135,NChina-Qinghai,Feb,324
134,139,NChina-Qinghai,Mar,396
135,132,NChina-Qinghai,Apr,336
136,140,NChina-Qinghai,May,366
137,138,NChina-Qinghai,Jun,363
138,137,NChina-Qinghai,Jul,327
139,133,NChina-Qinghai,Aug,285
140,143,NChina-Qinghai,Sep,255
141,142,NChina-Qinghai,Oct,402
142,141,NChina-Qinghai,Nov,279
143,134,NChina-Qinghai,Dec,306
144,148,NChina-SChina,Jan,1572
145,147,NChina-SChina,Feb,1356
146,151,NChina-SChina,Mar,1542
147,144,NChina-SChina,Apr,1575
148,152,NChina-SChina,May,1605
149,150,NChina-SChina,Jun,1458
150,149,NChina-SChina,Jul,1542
151,145,NChina-SChina,Aug,1629
152,155,NChina-SChina,Sep,1542
153,154,NChina-SChina,Oct,1569
154,153,NChina-SChina,Nov,1476
155,146,NChina-SChina,Dec,1434
156,160,Qinghai-Russia,Jan,144
157,159,Qinghai-Russia,Feb,84
158,163,Qinghai-Russia,Mar,132
159,156,Qinghai-Russia,Apr,192
160,164,Qinghai-Russia,May,267
161,162,Qinghai-Russia,Jun,243
162,161,Qinghai-Russia,Jul,219
163,157,Qinghai-Russia,Aug,234
164,167,Qinghai-Russia,Sep,225
165,166,Qinghai-Russia,Oct,216
166,165,Qinghai-Russia,Nov,234
167,158,Qinghai-Russia,Dec,207
168,172,SChina-CA,Jan,2199
169,171,SChina-CA,Feb,2031
170,175,SChina-CA,Mar,2118
171,168,SChina-CA,Apr,1986
172,176,SChina-CA,May,2295
173,174,SChina-CA,Jun,1872
174,173,SChina-CA,Jul,1857
175,169,SChina-CA,Aug,2070
176,179,SChina-CA,Sep,1803
177,178,SChina-CA,Oct,1626
178,177,SChina-CA,Nov,1515
179,170,SChina-CA,Dec,1788
180,184,SChina-JapanKorea,Jan,2511
181,183,SChina-JapanKorea,Feb,2172
182,187,SChina-JapanKorea,Mar,2349
183,180,SChina-JapanKorea,Apr,2184
184,188,SChina-JapanKorea,May,2277
185,186,SChina-JapanKorea,Jun,2124
186,185,SChina-JapanKorea,Jul,2292
187,181,SChina-JapanKorea,Aug,1863
188,191,SChina-JapanKorea,Sep,1659
189,190,SChina-JapanKorea,Oct,1902
190,189,SChina-JapanKorea,Nov,2118
191,182,SChina-JapanKorea,Dec,2505
