Netweight (kg)	Trade Value (US$)
2496	99271
928	41824
488	18015
292	4495
26431	1166334
1482	43561
42706	1684146
22406	838241
168	3145
598	16508
19234	811757
300	14495
46903	1831956
25755	963369
176	3782
20972	864805
	13952
	13952
3039	64558
3039	64558
42806	1990726
25	88
19816	1040135
302	8134
872	30514
376	18329
21398	893403
17	123
34855	1411692
8870	437325
8443	197134
1087	53172
388	14520
366	3344
14288	640749
95	763
1098	57913
220	6772
5911	114917
916	13720
172	2582
4696	92972
127	5643
13424	103997
6817	27535
5857	75178
350	361
200	238
200	685
22318	257107
6164	34421
13173	219200
1358	1714
1623	1773
24194	208952
752	4079
540	1971
18147	196646
234	1765
4521	4491
14891	65538
492	5925
2947	32814
630	3740
485	1776
9977	19967
360	1317
143817	502640
81620	150408
61745	291230
452	61002
151263	776676
78935	130567
42698	153166
786	51144
1339	90595
6109	261233
20634	72632
762	17339
188552	1533753
85475	166824
37069	141176
380	16090
8340	470882
3308	273234
4139	226957
14919	106238
34922	132352
	2430395
	1455814
	974580
69406	3839372
230	23172
35622	2313639
33553	1502561
682407	3070907
221	11232
676220	2760768
5966	298907
296026	2294412
	6065
288573	1820659
7453	467688
457101	2792411
	1709
453082	2538515
197	12376
3822	239811
84654	15106227
157	62502
3457	472321
178	182928
4080	1176611
10352	2849182
66430	10362683
124291	2938927
175	16480
280	13904
2429	98157
91249	1700578
12500	416436
4800	58873
7292	375111
5506	250815
60	8573
32679	6721738
342	74645
3551	838522
3366	578273
318	460584
1078	571639
2296	615035
21728	3583040
143201	3210811
111181	1703309
7079	336087
13924	566120
1027	107274
2383	110837
720	33988
6887	353196
12127	3736438
6169	2624592
5443	767057
445	305672
70	39117
	735456
57	3578
	340598
1826	114567
493	30920
3385	165727
3627	80066
985587	5622708
4075	345904
6662	373738
1020	15563
7515	357204
21341	898998
578	41087
620	8078
1044	64720
942732	3517416
13260	4587367
2427	977729
3690	492011
3882	2476208
3261	641419
2320452	6643228
2016	34153
218231	3418530
16330	892073
217522	133563
12722	607071
28371	1027308
1825035	483241
225	47289
88492	12763386
29623	1266029
4753	728280
290	208397
4542	1514241
105	4693
6194	1251887
42985	7789859
27474	3173672
46	28728
1003	335570
14079	1773292
795	248160
274	30671
11116	651117
2	349
142	80810
17	24975
0	731527
0	667
0	1222
0	142415
0	593
0	437989
0	604
0	142880
0	4619
0	538
0	4917040
0	119270
0	4677455
0	785
0	118645
0	862
0	23
0	769842
0	42556
0	102505
0	563722
0	4303
0	3830
0	49931
0	2673
0	322
7	663
7	663
11738	89898
1530	12677
2518	38946
6237	5402
500	10627
290	7532
250	4808
413	9907
12982	94673
455	7790
3346	73955
8194	10992
987	1937
1346	73655
1346	73655
5000	77169
5000	77169
2546	34071
347	3688
824	10751
165	150
882	14384
328	5097
2330	149054
2330	149054
6000	102729
6000	102729
9832	107770
1414	16702
2667	40931
2177	3127
2998	34217
576	12794
0	50199
0	6452
0	12864
0	22046
0	8837
994	60351
994	60351
19000	148047
19000	148047
5823	58147
995	8128
2810	46184
2018	3835
3853	65640
847	27064
956	24913
2050	13663
8000	169493
8000	169493
1370	22956
895	20606
475	2351
6095	121310
6095	121310
1989	24348
216	3347
1773	21001
4282	53725
119	9754
983	18160
3180	25811
659647	27156421
17914	564466
7034	292334
111	5030
634587	26294590
895501	26748183
14761	548454
12989	659901
100	5104
867651	25534724
25323630	29409707
32592	999793
15483	971634
99	82
115	7226
1	92
25275339	27430880
5416	366562
51	94
436	2862
1498	8983
825	189628
2606	164994
	26986333
32063	1009900
15584	977939
378	35599
3395	213037
	24749859
2701	26416
757	13062
1663	12368
50	191
231	796
34465975	29018672
130724	195795
8048	25870
467367	532887
111727	728371
4355	13081
33743754	27522668
3734	215660
499	27924
1954	48503
384	69971
7	433
50	96
680	66537
160	2195
5982	382167
84	21472
416	1557
2353	39432
620	121513
1014	56460
1495	141732
7976	553136
1287	23673
975	58222
1042	238696
2525	174291
1008	2560
17	233
847	24597
275	30865
44786	2009611
2188	99021
1787	66050
102	2055
685	31009
3351	151673
14148	640320
22525	1019483
	12536010
26188	1041466
16122	729689
12091	547238
44603	894976
	9322641
	65821726
	65821726
4855908	7988577
4855908	7988577
41150	2079833
1603	81421
2766	140521
943	47905
16232	824675
19607	985310
778970	15073048
16376	831995
84901	1783285
5968	303210
3803	193205
61816	1935611
606106	10025742
	59838819
	59838819
4495992	7478438
2500	4364
4490892	7470470
1400	1509
1200	2095
38415	2305678
5060	317540
3396	166645
423	9332
608	38129
10233	642148
18696	1131884
382141	12866847
879	55166
863	54162
22744	920529
173350	2482622
735	46130
174246	8723184
9323	585054
	28864330
	28864330
3963517	6888437
3961917	6885645
1600	2792
43392	2596066
3859	242194
1091	68460
2007	44307
1817	114039
8273	519172
26344	1607895
1182926	18363953
1199	75226
22721	979822
243948	1565701
8732	547944
71707	2246317
834620	12948943
11078648	33266278
11078648	33266278
4450061	7777501
4445861	7770161
2200	3845
2000	3495
	1996382
2297	102015
684	30368
19	281
722	32078
3146	139719
292	12960
	1051
22135	983155
15999	694755
	10261077
117	5216
23485	704207
10304	457674
10018	444952
85361	1278723
	7370305
	69034587
	68875129
3590	159458
5018075	7255683
5017555	7254800
520	884
48145	5505398
987	212931
4114	249801
3352	112200
4987	577398
3161	211968
9836	385689
114	3010
4527	1402864
15351	2066681
1716	282856
62460	4833198
2938	419746
1703	244340
2149	274306
16005	504474
18084	3043728
21581	346604
44675	5532463
2569	602441
2227	455160
714	24139
3810	701003
7195	315000
2371	651729
11848	2123626
11991	491741
1950	167624
44468	5949511
1628	367449
3232	395887
1731	58644
6945	864177
2836	143588
24765	3563264
3331	556503
52236	5819197
589	73686
9456	333016
8	50
5299	610005
20	690
3197	201525
10719	514768
18	1116
4095	1265297
15801	2427365
3034	391679
713	8632
100	1570
178	1822
140	668
195	3936
100	636
65	3426
45	3366
20	60
	584
	584
	5325
	5325
	15629
	15629
839032	3159111
25156	52417
3140	18831
1078	80294
289209	835232
385554	1243604
100002	206707
12853	578448
20422	76187
1618	67391
	16781
	16781
80676	2314522
2311	245390
572	14886
4	192
468	20325
29685	22902
47636	2010827
232313	3031763
18931	186915
5597	46930
549	78901
27959	253978
1940	19080
31183	776952
7622	111077
47747	272508
90785	1285422
8	330
8	330
10984	732503
8757	671403
280	16409
910	23662
467	13568
570	7462
	7804
	7804
72776	2659807
82	5310
1822	248042
215	6145
13050	8433
57607	2391877
262400	2580800
13276	132055
10564	90358
32930	79999
438	41750
1500	15183
22952	66473
60647	477508
2707	42708
1884	99270
48257	252229
67245	1283267
10960	801509
4990	536105
389	29945
1701	108960
400	11520
1098	18903
2382	96076
5001	21588
5001	21588
65346	2846111
2171	250918
646	76254
22	1126
1555	8202
60952	2509611
354716	3001588
153074	498841
5700	49472
522	46586
1196	112511
53900	158745
67594	555601
1900	29956
1970	150266
693	45128
47824	224630
20343	1129852
85	4270
85	4270
7002	733292
5358	606042
675	61282
969	65968
	11963
	11963
55615	2130656
12	110
120	810
1908	103247
287	40839
53288	1985649
492511	2328819
6826	44288
110100	115275
3484	144782
3566	113480
10433	171204
78031	887129
720	9074
7689	309982
263484	253001
57	827
8121	279777
11163	579182
1046	63928
7140	397788
167	29601
2810	87865
75814	2328197
2042	264502
2259	109385
308	7787
4089	219417
25043	15236
42073	1711871
974	78001
974	78001
18070	714972
2203	40235
12624	527873
2684	102747
559	44116
	1137824
9593	378800
1718	77749
990	44805
118	2368
1092	49406
3234	145201
167	7547
139	3729
	356688
1580	71529
219874	6689388
22759	755257
372	11623
5648	225347
8733	556410
56666	860412
2020	23183
8747	497530
15593	284564
65707	835414
27535	2421385
6094	218263
24557	1090669
11427	562429
676	34334
568	28857
724	36798
8	221
11155	428029
1536664	8696254
21299	663345
2893	311494
69662	1420950
3152	54714
794	94683
39331	614517
16352	298841
8	1000
1355694	2678488
22297	2360828
5182	197394
28361	1083395
1475	352317
490	17795
20225	44280
618	22424
1105	94156
4448	552423
3478130	10707658
24085	898939
70	12947
3639	520333
57842	1221538
3716	60061
1191	265631
17099	1081298
365622	866838
10	376
2991243	4758329
2764	174071
8939	751104
1910	96193
8636	773913
688	91143
1150	126261
1583	74592
5216	481916
20190512	19868994
18835	751807
4970	89476
561198	3032355
4676	111972
1000	173029
32419	648557
348129	611299
18917865	9644017
512	42479
300908	4764003
29181	1011332
7698	278399
608	26984
1436	63774
814	36147
4073	173809
12515	341719
2038	90500
255238	5644703
27097	653281
38	126
13508	499443
10982	596556
49700	492752
23	6
11445	627289
21930	360721
101954	753401
18561	1661129
173969	6426769
1944	88008
78565	2112459
22349	1011501
52079	2353408
19032	861394
141149	6059560
53927	1639051
15131	768769
65009	3291920
7082	359820
228182	7760957
8606	359837
54600	2286787
144	9034
14313	819587
148675	4170018
1844	115694
788121	8953076
10394	434633
704536	3986250
13502	786474
58835	3692047
855	53672
151972	5689330
7	316
1031	45790
60022	1605261
19553	868466
44592	1980584
26768	1188912
3805	65374
62	1483
3560	60180
183	3711
0	2438000
0	36000
0	12000
0	36000
0	2354000
3734	71460
3354	63217
380	8243
	2554552
1511	57700
	19000
0	1
	2565
	1
	2456586
413	18700
4013	63454
15	260
3775	59743
25	413
123	2982
75	56
	2360967
29	885
14	700
3	80
	14935
	2344367
4449	84586
29	496
4165	78508
255	5581
	1045263
14910	27135
12	267
4	80
	1017781
2248	82903
14	897
1935	70321
298	11684
	2206721
438	27500
	21600
2	50
11795	21465
875405	2136106
4338159	4828757
844307	934854
383589	404124
22132	28188
13413	18952
252490	299794
800	929
503196	576591
250	645
2137712	2377344
180270	187336
94376	2708753
327	47407
2928	144017
321	20691
38964	278834
51835	2217805
132678	4881687
1420	154931
19495	643771
22765	464784
90	8351
446	36632
400	40820
983	59018
13866	425252
205	6408
67745	2680813
5263	360907
111721	3009352
490	48984
403	36496
57333	526110
318	600
53177	2397162
128518	4983674
830	81598
60769	2147547
23202	594402
90	9612
38	1873
487	46361
1160	128236
200	19896
500	34446
15114	643732
24454	1044476
1674	231495
183006	3209977
327	43524
334	43635
123323	723289
59022	2399528
121661	5708863
47789	1857004
14033	639695
142	11275
1080	126679
157	19963
4139	484366
16112	712539
17	393
36577	1638119
1615	218830
233152	3852066
167651	1058632
65501	2793434
4351871	4850792
1575	8521
6450	7414
833855	924098
385192	409824
11414	12497
64299	77723
56295	73190
303122	354781
790	1159
299090	328127
440	778
80702	108510
2108409	2333795
200238	210375
53347	2277674
348	38185
2856	134353
50143	2105136
	5023451
	75981
	1817179
	1131248
	68865
1092	48482
	360177
	21817
	69684
	6403
	9092
	103380
	732893
	578251
	9127920
2129	96361
	4687760
	734691
1783	80688
	617208
	50354
	100392
	737504
	2022963
	4874072
384	19515
	2839937
8719	442991
827	41996
374	19012
	14234
217	11013
548	27850
	999316
	458208
	192725
333	20877
137	8610
	91411
1145	71828
	21039
	21039
46141	628665
1720	26879
5346	130682
1425	18895
37200	451697
450	513
39094	656953
1913	30595
2005	52430
6306	98327
28870	475601
66205	1197813
3643	133795
4220	68276
4288	58336
345	2150
705	4504
53004	930752
20419	494858
675	12178
5224	212871
2870	51101
11650	218707
34211	442165
720	15220
501	6562
4276	66371
14504	206635
13380	92472
830	54906
5745	552854
4886	470152
859	82701
17999	188099
1440	11902
201	5523
10880	113188
5462	56288
16	1197
48450	627878
1794	27006
1302	62111
5395	95201
880	13201
39079	430357
15244	181964
720	4861
4706	68451
100	4177
5518	66792
4200	37682
18793	360094
2118	36042
300	6228
4897	87821
1260	24114
1959	67703
470	4270
7789	133917
	522813
	71550
153	4309
	446954
11931	32814
6	36
11920	32756
5	22
4833	1003732
56	64240
186	83933
3492	769838
1099	85720
19672	39995
12	62
19630	39780
30	153
84715	511630
84715	511630
6408	1084207
120	15800
5545	996343
743	72064
19705	65152
10	143
19535	62771
160	2238
12972	597221
12972	597221
5529	1356800
1320	12318
4072	1217045
137	127438
17668	68913
17663	68890
5	23
14999	752258
14999	752258
9923	1502626
73	11771
5340	49074
4368	1304597
142	137184
5981	15623
5981	15623
2675	153021
2675	153021
3263	825307
44	63040
173	83985
3046	678282
3042	216683
3042	216683
6288	279274
2302	102252
1836	81543
777	34493
112	4982
1261	56004
69289	850219
702	25067
2500	25729
42	148
1839	96038
53	100
2838	15864
4583	171343
10	20
13902	184124
110	494
3350	10729
39360	320564
	1689456
	31486
962	48869
11	301
2756	140016
6770	343711
	1096952
554	28122
534793	4104913
9493	78414
908	77927
5818	107761
180	18523
99001	259575
45	102
4030	31992
60274	598013
7212	53106
346001	2844898
1831	34603
391171	3079394
3050	19458
500	85
175	37619
13	311
6	155
5683	127562
87231	805632
90	457
9430	86232
284911	1998463
82	3421
11608551	22010980
3030500	5434565
3512	1887
100	2831
2900	93423
1677600	2840431
800	100028
205856	79268
1756	944
2998400	1825048
41900	64169
2029026	1048412
275900	143437
1333800	9974536
6500	402001
11637055	23862364
2834800	7212204
13000	11310
500	14703
100	6786
2000	5655
2025400	2321884
2100	14703
1100	22619
500	76906
445900	226194
2737055	2047058
7500	78037
2415100	1938485
211200	158336
939800	9439087
1000	288398
11961253	30051087
3323300	8562035
400	12439
100	6220
1467000	2107233
167200	1563632
200	42294
644500	399305
2371500	2086086
95000	51002
2893634	2685665
165700	131858
828500	11747763
4219	655556
12349045	29028888
3809800	7480569
6000	169221
800	197839
897	2489
903100	1840280
253200	2320569
1800	29863
300	46038
649400	428030
2937600	2555737
8700	63458
2838500	2539561
216800	195351
719900	10868724
2248	291160
12062584	22665550
2749200	5213632
3046	1791
1987438	4223928
500	51948
605500	470221
3927100	3353348
30100	35826
1733600	922529
1023300	7807461
2800	584865
10080	497232
950	59607
1890	114097
3320	94575
3920	228952
	2597
	437
43	2160
9550	469826
220	17405
1040	65034
3390	120687
4900	266700
8164	175346
100	1001
7894	170889
145	3361
25	94
60	2617
40	1342
20	1275
9070	498870
1160	91016
3020	98505
4890	309349
11925	396300
20	57
11790	392612
115	3631
115020	390644
1280	27200
28	5084
600	7015
113112	351345
	2891
39	2423
3	214
	254
14080	467111
590	12834
4290	123457
50	2627
3390	59965
5760	268229
50351	231202
41195	7324
8473	198226
683	25653
152844	265466
21886	108900
1260	3360
22762	24061
105376	116117
1560	13028
13510	505008
230	5619
1350	58328
1520	73523
5470	127657
4940	239881
9317	227598
284	6934
8497	201732
536	18931
389397	628914
199805	311399
187512	291115
2080	26400
1012	7887
135	431
877	7456
9557	271758
7980	245156
104	2342
664	18661
710	5257
99	341
163554	451230
92180	125930
6500	90647
53609	79744
11265	154909
976	13975
156	4578
120	3598
700	5800
216082	406064
100	9210
213437	354820
2455	38876
90	3158
1603	12566
263	4261
286	2046
334	898
480	3384
240	1978
685	4542
350	408
335	4134
107554	37072
26572	9879
27026	9207
53116	7509
833	10270
7	206
34374879	65523000
868700	204000
39600	51000
2200	369000
1500	30000
1255900	2779000
374900	362000
5002600	3317000
37700	60000
26543800	53428000
192400	56000
51700	4513000
3879	354000
366925	3233090
526	21210
225	398
6753	46506
30754	171109
10565	613409
5640	9740
261525	792922
22284	682507
8238	69075
20415	826215
1495	4697
1495	4697
20697300	47359000
378500	41000
12600	25000
8100	133000
718700	1877000
2074800	2029000
2850500	1167000
400	67000
14481500	37019000
145900	20000
26300	4981000
1286767	3157146
20042	74575
1119087	180121
1491	231839
1108	29776
100767	590831
34142	1685994
125	1849
9925	357359
80	4803
59982087	111326000
890000	247000
19100	50000
31900	566000
1520887	2826000
12215400	15471000
3692900	1139000
3600	51000
41433000	83996000
1800	10000
10100	76000
129300	20000
27600	6196000
6500	678000
86881	1730061
29248	340231
406	29353
1690	126023
54	127
2028	8770
49767	1118935
1240	11999
1086	13529
1220	77789
142	3305
325595	4332733
15000	62850
4639	66088
175	5877
71334	445267
2617	354684
1898	39983
112025	536748
28152	1473360
89600	1328465
155	19411
71476200	145109000
457100	296000
18600	68000
400	74000
6200	151000
3776300	4639000
19169000	23089000
4145400	1355000
20000	25000
43286200	104870000
305300	1353000
9800	133000
195200	28000
81900	8772000
4800	256000
17743	1112456
5090	319400
81	5070
27	596
11719	735402
	100
552	34621
216	13544
59	3723
316658	4159703
40386	106572
7942	91894
557	6675
11313	322148
23240	1249993
4045	49421
40302	252227
60689	622205
870	10446
127217	1442760
97	5360
43846900	66979000
1752100	737000
322400	128000
4100	103000
940400	2296000
2378800	1285000
5549700	3913000
2000	11000
32653100	54045000
1200	25000
151000	75000
92000	4351000
100	10000
1252719	2758824
3425	46156
1920	19695
3082	169080
1129	69404
3891	221307
400	3189
112	7796
1138	70031
1203278	397182
1398	53753
152	9471
32794	1691758
70	548
70	548
33224	152260
11068	10193
0	13
425	8126
2127	31329
12544	59750
5941	27892
1119	14959
79869	1170951
800	11714
30205	300532
90	4924
1081	80769
110	6184
260	22598
2400	30710
41315	661413
1700	5237
228	22378
1680	24492
142847	1455625
36047	328892
6900	60380
560	29915
4800	134562
50360	788613
42865	21755
1165	83471
150	8037
298462	4894652
395	5473
762	93221
632	22217
213518	1443285
296	22665
2400	57607
2888	147917
32	252
1059	4569
6	383
76474	3097063
590093	5715777
729	84832
1206	37885
918	48228
510699	2479472
199	22015
2212	57623
13	386
692	35411
73425	2949925
487430	5673121
176	2437
1089	122924
804	22393
412896	2575257
659	60402
716	21060
2986	152704
360	3780
67744	2712164
614061	7217820
213	3675
2563	183728
977	36957
506994	3565118
848	60103
1600	50471
3365	169173
97501	3148595
445	42861
259	29084
49	4857
137	8920
16180	205291
15948	192730
232	12561
115268	3484268
5966	280666
4128	107194
2400	147234
27096	73738
75678	2875436
1862	90214
142	12466
309	41605
1106	17773
140	12490
165	5881
15050	204636
50	456
12003	173392
50	685
2947	30102
318	36281
185	24848
133	11433
13823	200324
13431	195055
392	5270
12803	191753
12753	191208
50	545
1726	157411
137	11413
868	74012
721	71985
17011	229369
13758	191073
29	977
245	3726
2979	33593
1698	35816
1698	35816
979	31979
979	31979
125	10797
125	10797
174	17639
174	17639
920	6580
920	6580
1157	29521
1157	29521
4598	21382
4598	21382
243200	8100000
31600	472000
1600	187000
85500	2523000
3200	229000
3500	543000
11500	449000
6400	126000
40700	750000
800	6000
49500	2156000
8900	659000
144963	2611376
105127	1016183
39836	1595193
159400	6989000
20800	314000
1500	244000
6800	55000
63500	2604000
19500	721000
3200	575000
400	7000
3900	190000
25700	429000
12900	1474000
1200	376000
1519	42895
1519	42895
122334	2409552
81250	738967
596	50119
40488	1620466
	9720000
66600	789000
2700	35000
1500	219000
43900	338000
95900	3022000
700	9000
500	94000
1900	301000
2200	372000
	539000
1016	111000
9	1000
11700	2665000
4300	1225000
110	24071
110	24071
1840	115466
1840	115466
264339	3747521
202126	1703673
603	59998
61610	1983850
664528	11505000
303800	1155000
3500	56000
8900	804000
74100	9000
37400	1027000
1628	120000
145100	3525000
8900	820000
1800	50000
3500	426000
12200	543000
46600	9000
15400	2866000
1700	95000
23078	509504
3906	86244
12654	279376
6517	143884
213766	2950340
6105	304424
169251	1357887
38410	1288029
269900	10176000
33800	486000
2800	206000
2000	73000
154000	4022000
10300	255000
6300	725000
10400	369000
2800	60000
22300	294000
9300	1037000
15900	2649000
141397	2493348
3133	163617
91061	890914
47203	1438817
4917	98653
4917	98653
	7070892
	13263
4304	120776
2805	126951
	46825
	6763078
234145	5679000
10233	234000
10653	334000
11386	445000
109830	2702000
92044	1964000
25687	4194275
2660	138617
2614	107877
4318	1182868
1712	235744
11181	2239171
3202	289998
	8130949
9307	282798
811	41222
	7806829
2	100
155878	5156000
3587	109000
1704	77000
5328	206000
5669	288000
83808	2762000
55781	1714000
34111	6490181
4566	558100
2611	969855
5119	253050
1075	116468
35	414
18212	4137567
2494	454727
	16895438
80	5028
	26704
6254	317663
	16392748
891	55910
1552	97386
42509	8247718
545	377895
1957	221885
3750	140952
3144	538405
33113	6968581
	16653516
152	3358
12	740
8692	399848
	255869
424	9354
	14613558
17	1081
21827	1369708
108404	4639000
2918	122000
1857	41000
5466	343000
2899	64000
9019	566000
76394	3222000
9851	281000
725358	11944905
240590	425557
1590	506241
303630	2731428
9918	1107589
1	139
864	33864
76293	856456
4606	672212
1243	12326
200	6567
75	911
39736	715627
1200	248755
45412	4627233
9018	1928916
66	2846
400	408270
2368	326966
6184	1190834
	5821161
216	5685
11303	298105
	11420
	5425201
	80750
221487	4314000
11482	172000
1535	23000
13952	209000
13503	250000
77393	2005000
103622	1655000
367526	11588573
1191	51858
19943	2702953
6009	633648
26	248
24231	589269
9194	1013026
26223	793576
248195	821035
285	2677
13389	2244496
156	2015
18684	2733772
12885	2198853
420	383062
2490	328822
9975	1486969
119419	11083822
27	157
970	323565
15364	3626926
1892	198536
50	501
17302	235378
330	4884
217	23601
375	3767
6883	197349
447	22311
38095	1241841
9639	2177528
27828	3027478
38195	8660969
398	1089
6332	1660247
43	421
3410	92957
2486	426676
443	2954
120	693
145	1282
22627	5895443
2191	579207
44040	8212290
5013	1761283
266	402073
563	2316
5983	798939
2472	84602
1184	51200
9652	1866251
18893	3245375
14	251
3882337	27286657
47628	131163
478	45135
9443	438853
3105440	14534116
205900	1011873
2840	57848
1825	255798
114588	3045843
7453	21034
266790	442092
116409	7008914
3543	293987
	8256036
	386283
30664	1199801
12591	569891
1370	62002
47357	2081061
66357	2988816
21391	968183
79118	3426002
52	506
3816	204873
592	25756
460	3042
23941	1211321
1210	74024
388	4757
20	423
732	5496
4074	196191
2308	17914
32	447
2360	96841
2800	92399
284	2900
3851	155260
32198	1333850
5536823	31604571
1048	17276
129445	213047
1599	132633
4848103	18727167
300280	1884338
500	5040
2867	487116
36078	1338316
3734	138054
90880	51484
116956	8134801
5333	475300
	8705277
	964515
30352	1344254
6048	307251
2585	131311
22890	1162938
	5584
116	5904
76178	3824667
22559	958853
61930	3098340
76	585
807	48158
322	2389
12316	662314
2940	246167
121	1006
902	53618
1078	8630
18	549
10525	466417
6025	101979
24482	1416746
130	1203
2188	88578
2274406	25703373
1924	49739
22258	108804
129	4042
2046746	14509622
25820	551379
3526	90070
4607	763827
36966	1509963
15498	106568
3680	146009
105498	7503289
7754	360060
28227	545481
28227	545481
163810	8722038
1064	66794
49870	1633458
19312	1211917
1045	65555
10675	669885
75649	4685699
6195	388731
87067	2385423
1328	102632
4138	296094
12468	363187
20580	18734
13684	732162
2250	80643
24745	304677
6737	373500
1137	113794
98306	3416616
158	1111
398	3553
19381	972398
3282	337579
132	1082
199	2591
635	5444
1803	122395
95	657
325	1714
1000	65934
37587	413187
14769	533660
17274	876377
1268	78934
2501770	24522369
4880	50021
27596	61495
122	2513
100	311
2124379	12459412
10573	435472
4424	82213
2320	425805
64487	2018342
24852	859742
42168	66859
191519	7769709
4350	290474
46990	1340353
46990	1340353
290302	9552154
10248	364299
57780	1591866
20837	740745
10830	137868
10342	367659
156391	5500952
23875	848766
54348	2593611
5500	421902
6828	578960
1680	14695
10270	671963
2889	209518
25911	612729
1270	83844
	4244928
	1660
	1873
22508	1241617
	49817
	1251
	2164
	299673
1688	105944
	2929
	2116
	301221
55990	511758
27455	1722905
3762638	25577179
107220	322283
1943	77104
42875	1218252
3058830	14425658
82954	679616
29843	148460
2537	374751
63902	551747
221487	133598
147311	7310888
3736	334823
72113	984806
72113	984806
	8351698
	540216
32023	1095271
12113	538034
1724	76553
	1968
26007	1155132
100878	4422615
25018	521910
51560	1267200
2600	140900
2600	119500
3100	129000
21460	328500
7000	141000
4200	107000
10600	301300
60606	2628225
1471	60061
560	30101
105	1389
19594	912433
1681	202508
83	1220
95	2106
116	1092
45	735
4155	218893
768	7175
2303	141401
3244	26763
92	1008
24	303
269	4274
2480	96400
100	2257
1712	67297
14516	588362
7193	262447
14213	435319
14213	435319
41400	989700
4300	304000
4500	137200
700	6900
5900	339700
25000	97500
1000	104400
33973	622903
33973	622903
23000	1241200
1300	99500
4200	328800
800	127300
6100	232700
6000	113900
2400	119500
2200	219500
	259251
821	37146
330	14939
224	10127
104	4696
127	5747
	13
1385	62664
94	1896
2520	97272
	24753
5614	248613
1	20
74	3741
110	5207
105	5327
107	5411
150	4239
2308	101932
2359	102361
401	20375
868	16364
868	16364
	377560
	377560
11	720
11	720
2374	149384
73	4597
325	20384
114	7127
201	12587
7	408
	8915
135	8459
1520	86908
1000	1777
1000	1777
	269642
463	20569
656	29121
173	7702
	52626
336	14942
3651	119945
557	24735
235	10657
56	2537
179	8120
111440	1179549
880	12300
8326	116409
1200	5237
22678	250652
62701	546803
440	6003
180	3450
371	3284
320	8586
14344	226824
79855	1265039
11047	220935
4038	49248
605	1702
9259	162731
12	142
44772	657237
115	7750
90	8787
688	11010
1299	13670
208	10447
7722	121379
70955	1131519
4928	54360
4	67
16303	277765
10	671
41043	527061
2551	64922
428	25179
2	40
1165	26740
2271	30185
2250	124529
80324	1472517
136	16892
5229	402288
6027	21782
13133	284775
55186	730860
15	509
200	11507
398	3906
34366	1782688
2445	106090
260	3349
10139	560464
4590	276675
10	1691
3031	157510
207	2446
4768	296428
1905	48375
6686	304950
23	406
302	24304
174960	1130016
4544	40428
132090	362623
3744	298909
29581	255897
3701	170132
1300	2027
36170	1665012
50	160
365	29844
4761	271181
3385	185484
10	2221
190	2474
8918	484761
35	561
5826	133800
11629	477503
1001	77023
49123	944093
5305	202302
1820	62918
3062	293489
32398	149053
4342	161152
2196	75179
58987	1823000
136	3000
5000	234000
7449	400000
4000	260000
401	19000
29000	444000
5000	114000
7000	271000
1000	78000
9408	530421
1300	175493
1200	193974
5800	75092
1108	85862
49404	1862000
7000	423000
1000	69000
3000	186000
2000	26000
5000	304000
15000	155000
385	19000
15000	632000
20	1000
1000	47000
56659	1034489
6386	227024
5480	194807
40918	474907
1276	45363
2599	92387
30679	1428434
4965	183654
548	33554
8058	405480
3028	183356
48	3647
5324	295583
740	47942
3791	76690
3916	174224
261	24304
273925	1492375
21659	217155
207331	529629
1100	14854
3124	237381
6978	80496
3204	142551
30529	270309
	473944
	473944
	250618
	250618
3169	981779
3169	981779
1262	1333637
1262	1333637
96844	1374221
1376	25148
9735	390885
670	56062
4981	274646
78429	541511
28	2157
1625	83812
169440	408867
39440	123816
117827	258891
8358	17960
3815	8199
9755	169860
313	25623
111	14377
9331	129860
117861	1999328
387	4289
240	13757
1044	58541
14671	554062
1729	174737
400	22454
90793	751274
8597	420214
39738	369549
22366	227905
5476	25385
11891	31487
5	84772
15533	262249
400	21956
140	18893
14465	203719
528	17681
4339	220423
241	12224
870	44224
3227	163975
312236	2816525
16610	165452
1080	9632
8138	634395
1551	101574
308	4712
36892	33891
3348	257386
228957	1117506
15352	491977
29343	354689
21746	213021
2454	34501
5140	37321
3	69847
7507	239526
1103	102342
6404	137184
2242	134550
336	21113
834	46182
385	24186
686	43070
462778	4846975
7291	457537
6620	415441
10200	1600
12849	806306
2034	110330
4371	274299
402078	1693617
17335	1087846
40515	483761
33950	363386
28	9490
6533	35851
4	75034
7208	221942
634	52005
6574	169937
6328	137774
2400	16726
365	22892
824	51681
418	26212
2322	20264
43901	1024654
1855	10470
1000	9439
4154	54435
12433	363986
739	48618
6454	318007
13690	185938
10	36
3566	33725
58848	308581
47013	241793
8069	51542
24	97
3742	15150
14136	273979
629	56955
114	9550
229	3744
13164	203730
11650	503632
2298	91055
8111	357490
65	2896
1175	52191
5211	237779
80	3632
134	6080
4996	228068
	15917759
224	10121
19	857
1509	68306
35075	1515186
22978	1039973
7749	350739
735	33286
	2135102
9497	429857
	30897
	34382
	3122913
	2318491
	3100880
	1726769
	145615
25	1124
246	8446
	54509
1470	39512
	42024
5880760	13933101
396	4123
1959	4019
444409	1754523
189174	949961
10764	15300
143808	276266
174810	363692
72061	279461
4050	7700
399093	1189505
335649	690011
94804	206955
124700	49751
1533547	2248860
812996	2057595
1538540	3835379
1686	5231
1686	5231
	56200
	22418
48	2454
1006	31328
211828	12048195
